CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7877764438076520000,236344,831,4,0,0,0,27,2,84,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,117,BP to STH,684,0.32142857142857145,0.0,728
-7873064312720940000,149590,547,7,0,2,0,16,0,49,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,STNL to BP,689,0.32653061224489793,0.125,504
-7849885666031650000,438833,1695,124,0,6,0,25,1,60,0,0,0,3,0,1,3,116,0,0,0,0,0,0,0,0,0,0,0,217,BP to STH,706,0.4166666666666667,0.24,304
-7846190291384420000,92915,382,7,0,0,0,5,0,33,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,STNL to BP,709,0.15151515151515152,0.0,1127
-7838914590780100000,293141,1146,44,0,0,1,18,1,81,0,0,0,0,0,0,3,40,0,0,0,0,1,0,0,0,0,0,0,145,BP to STH,714,0.2222222222222222,0.0,662
-7829720540374800000,111165,447,2,0,0,0,0,0,52,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,717,0.0,,563
-7779793044524700000,305141,1237,10,1,2,0,24,0,114,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,STNL to BP,742,0.21052631578947367,0.08333333333333333,719
-7720082002713700000,553673,2200,46,0,4,0,89,0,134,0,0,1,2,0,1,0,41,0,0,0,0,1,0,1,0,0,0,0,274,BP to STH,773,0.664179104477612,0.0449438202247191,149
-7698722167058350000,88933,318,2,0,1,0,11,0,29,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,STNL to BP,783,0.3793103448275862,0.09090909090909091,998
-7672495808090630000,86924,280,6,0,0,0,2,0,34,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,43,STNL to BP,791,0.058823529411764705,0.0,237
-7665961882875000000,123273,461,4,0,2,0,21,0,34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,61,STNL to BP,794,0.6176470588235294,0.09523809523809523,1817
-7665920367552830000,234435,837,15,0,0,0,11,0,90,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,116,STNL to BP,795,0.12222222222222222,0.0,1336
-7663977839951660000,183941,731,4,0,3,1,25,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,91,STNL to BP,798,0.43859649122807015,0.12,294
-7641569739874650000,630186,2499,19,0,4,0,138,0,150,0,0,0,2,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,312,STNL to BP,813,0.92,0.028985507246376812,169
-7619849108605530000,282962,1090,34,0,2,0,10,0,93,0,0,0,8,4,1,0,19,0,0,0,0,0,0,0,0,0,0,0,140,STNL to BP,830,0.10752688172043011,0.2,256
-7601140319469650000,826472,3182,63,0,5,0,197,0,142,0,1,0,1,5,1,0,51,0,0,0,0,0,0,0,1,0,0,0,409,STNL to BP,837,1.3873239436619718,0.025380710659898477,109
-7579129756111380000,80916,351,34,0,0,0,0,0,6,0,0,0,0,5,0,1,19,0,0,0,0,0,0,0,4,0,0,0,40,STNL to BP,852,0.0,,261
-7573267924112520000,293032,1070,7,0,3,0,38,0,97,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,145,BP to STH,859,0.3917525773195876,0.07894736842105263,1090
-7360408895077960000,163691,682,3,0,0,0,0,0,75,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,STNL to BP,928,0.0,,1
-7317923692463740000,317278,1162,3,0,0,0,16,0,138,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,STNL to BP,951,0.11594202898550725,0.0,0
-7242606166903490000,626526,2405,60,0,3,1,59,0,186,0,0,0,2,7,1,0,50,0,0,0,0,0,0,0,0,0,0,0,310,STNL to BP,975,0.3172043010752688,0.05084745762711865,505
-7240899418767690000,329503,1288,60,0,3,0,34,0,65,0,0,0,0,1,1,0,51,0,0,0,0,0,0,0,3,0,0,0,163,STNL to BP,977,0.5230769230769231,0.08823529411764706,1082
-7226812297237790000,90962,344,2,0,0,0,1,0,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,986,0.023809523809523808,0.0,195
-7181740545738610000,139434,562,4,0,0,0,4,0,59,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,69,STNL to BP,1026,0.06779661016949153,0.0,219
-7169266210296410000,248720,1005,31,0,1,0,24,0,66,0,0,1,0,2,0,0,22,0,0,0,0,0,0,0,2,0,0,0,123,STNL to BP,1033,0.36363636363636365,0.041666666666666664,1002
-7150828245278420000,97040,352,4,0,0,0,7,0,34,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,48,STNL to BP,1040,0.20588235294117646,0.0,1076
-7046946096911530000,107030,414,4,0,2,0,19,0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,BP to STH,1097,0.7037037037037037,0.10526315789473684,224
-7013844965038690000,869499,3278,227,0,26,0,93,0,82,0,0,1,5,11,1,0,193,0,0,0,0,1,0,1,0,0,0,0,430,BP to STH,1112,1.1341463414634145,0.27956989247311825,312
-6985902195085010000,117276,431,2,0,1,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,58,STNL to BP,1129,0.057692307692307696,0.3333333333333333,1230
-6945035221464900000,462788,1845,4,0,3,0,125,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,229,STNL to BP,1147,1.288659793814433,0.024,602
-6756511192589080000,147535,592,9,0,0,0,8,0,54,1,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,73,STNL to BP,1243,0.14814814814814814,0.0,698
-6711964780852030000,62656,240,3,0,0,0,3,0,25,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,STNL to BP,1264,0.12,0.0,290
-6682832576805420000,395979,1540,19,1,7,0,46,0,117,6,0,0,0,1,0,5,11,0,0,1,0,0,0,0,0,0,0,0,196,STNL to BP,1284,0.39316239316239315,0.15217391304347827,288
-6673460673768830000,549868,2106,112,1,3,0,27,0,129,0,0,0,5,3,0,0,102,0,0,0,1,0,0,0,0,0,0,0,272,STNL to BP,1286,0.20930232558139536,0.1111111111111111,188
-6636322450658970000,190089,688,15,0,2,0,33,0,44,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,94,STNL to BP,1300,0.75,0.06060606060606061,1372
-6552895408889550000,105097,434,3,1,0,0,4,0,43,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,52,STNL to BP,1329,0.09302325581395349,0.0,347
-6539484496770990000,446693,1675,12,1,7,0,72,0,128,0,0,0,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,221,STNL to BP,1335,0.5625,0.09722222222222222,24
-6469074992888300000,183815,798,4,0,0,0,24,0,63,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,STNL to BP,1360,0.38095238095238093,0.0,83
-6467481788152070000,210192,897,17,0,3,1,17,1,65,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,104,BP to STH,1361,0.26153846153846155,0.17647058823529413,0
-6341070780589600000,113171,453,3,0,0,0,12,0,41,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,1420,0.2926829268292683,0.0,29
-6317193160789130000,109136,407,3,0,0,0,6,0,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,STNL to BP,1434,0.13333333333333333,0.0,1149
-6225714520231570000,123340,499,3,0,0,0,5,0,52,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,61,STNL to BP,1466,0.09615384615384616,0.0,674
-6223367998988340000,230341,937,2,0,2,0,21,0,89,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114,BP to STH,1467,0.23595505617977527,0.09523809523809523,496
-6164768507131820000,167726,716,3,0,2,0,28,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,STNL to BP,1483,0.56,0.07142857142857142,77
-6138895782748630000,519428,2166,86,0,4,0,45,0,120,0,0,0,0,4,1,0,73,0,0,0,0,0,0,0,8,0,1,0,257,STNL to BP,1496,0.375,0.08888888888888889,264
-6129601459375850000,123265,454,3,0,0,0,7,0,50,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,1508,0.14,0.0,399
-6122583781936760000,517597,2155,65,0,0,0,116,0,75,0,0,0,3,1,0,0,56,0,0,0,0,0,0,1,0,0,0,0,256,STNL to BP,1510,1.5466666666666666,0.0,681
-6121392001898780000,163688,653,9,1,1,0,8,0,62,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,81,STNL to BP,1512,0.12903225806451613,0.125,690
-6038549214255460000,343706,1352,44,0,6,0,46,0,73,0,0,1,1,4,1,0,28,0,0,0,0,0,0,0,2,0,0,0,170,STNL to BP,1543,0.6301369863013698,0.13043478260869565,567
-6028257208003980000,113281,490,29,0,0,0,0,0,27,0,0,0,6,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,1552,0.0,,163
-5974389389481820000,181919,651,4,0,0,0,20,0,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,1585,0.30303030303030304,0.0,9
