CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9210585509680820000,143488,550,2,1,1,0,14,0,52,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,71,STNL to BP,8,0.2692307692307692,0.07142857142857142,1068
-9160061039427330000,301154,1162,14,1,4,0,33,0,95,1,0,0,1,0,1,0,11,0,0,1,0,0,0,1,0,0,0,0,149,STNL to BP,28,0.3473684210526316,0.12121212121212122,536
-9150039727310990000,206149,758,3,1,0,0,33,0,63,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,102,STNL to BP,34,0.5238095238095238,0.0,2182
-9141066939313830000,349729,1336,23,0,5,0,64,2,78,0,0,0,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,0,173,BP to STH,37,0.8205128205128205,0.078125,185
-9091992196727950000,319247,1220,4,1,4,0,59,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158,STNL to BP,58,0.6555555555555556,0.06779661016949153,978
-9042636493948470000,387956,1367,4,0,4,0,38,0,145,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,192,BP to STH,84,0.2620689655172414,0.10526315789473684,49
-9038257846757470000,270710,1162,2,2,7,0,51,1,71,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134,STNL to BP,89,0.7183098591549296,0.13725490196078433,1831
-9008721192116480000,677102,2960,124,0,4,0,66,1,139,0,0,1,2,0,1,0,110,0,0,0,0,2,0,2,0,0,0,0,335,BP to STH,100,0.4748201438848921,0.06060606060606061,310
-8974552446931730000,592310,2268,64,0,7,0,104,1,116,0,0,1,0,1,1,1,60,0,0,0,0,0,0,1,0,0,0,0,293,BP to STH,117,0.896551724137931,0.0673076923076923,550
-8970019989456070000,266740,993,9,0,2,0,16,0,103,0,0,1,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,132,STNL to BP,121,0.1553398058252427,0.125,241
-8920668832996540000,262807,962,4,0,0,0,9,0,115,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,130,STNL to BP,155,0.0782608695652174,0.0,368
-8913191304827290000,283255,1178,101,0,0,0,2,0,35,0,0,3,4,1,2,1,86,0,0,0,0,0,0,1,0,0,0,0,140,STNL to BP,158,0.05714285714285714,0.0,267
-8895381702063250000,266690,1072,3,0,1,0,41,0,87,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,STNL to BP,167,0.47126436781609193,0.024390243902439025,18
-8885147912080390000,356034,1409,53,0,3,1,53,0,66,0,0,0,1,11,0,0,37,0,0,0,0,0,0,0,1,0,0,0,176,STNL to BP,171,0.803030303030303,0.05660377358490566,64
-8879650253789190000,448636,1726,10,0,8,0,57,0,146,0,0,0,1,0,1,1,6,0,0,0,0,0,0,1,0,0,0,0,222,STNL to BP,177,0.3904109589041096,0.14035087719298245,332
-8868658389878320000,337542,1283,2,0,4,0,81,0,79,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,167,BP to STH,184,1.0253164556962024,0.04938271604938271,31
-8793425143468170000,38435,162,14,0,0,0,3,0,2,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,BP to STH,231,1.5,0.0,354
-8792430926245250000,244563,988,1,1,0,0,3,1,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,121,BP to STH,232,0.02608695652173913,0.0,1777
-8790783138282960000,307215,1241,6,0,0,0,19,0,127,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,BP to STH,234,0.14960629921259844,0.0,182
-8754889943568910000,230474,859,1,1,1,0,11,0,99,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,114,STNL to BP,248,0.1111111111111111,0.09090909090909091,120
-8745426364420720000,187919,788,4,0,0,0,6,0,80,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,93,STNL to BP,257,0.075,0.0,309
-8728811662087100000,285006,1088,5,0,0,0,2,0,133,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,STNL to BP,268,0.015037593984962405,0.0,308
