CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-8716738120547681260,707469,2713,2,3,8,4,98,3,227,1,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,350,47,0.43171806167400884,0.08163265306122448,15
-8698335653890176345,3079313,12333,530,9,42,0,302,0,634,1,0,7,3,13,40,5,1,435,0,0,1,1,2,0,1,8,0,0,0,1523,48,0.47634069400630913,0.1390728476821192,73
-8664195521670738781,687502,2769,7,0,12,0,59,0,258,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,340,52,0.22868217054263565,0.2033898305084746,139
-8654484719259980981,1493574,5666,2,5,28,2,152,2,544,1,0,1,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,739,53,0.27941176470588236,0.18421052631578946,44
-8647450802368276027,1137640,4510,27,8,6,0,234,0,281,1,0,1,0,2,4,5,1,21,0,0,0,1,1,0,0,0,0,0,0,563,54,0.8327402135231317,0.02564102564102564,458
-8629698722701202193,1006448,4028,5,0,2,0,56,0,430,1,0,0,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0,0,0,498,55,0.13023255813953488,0.03571428571428571,285
-8606478271437495655,495806,1678,31,4,10,0,48,0,148,0,0,4,0,4,3,3,0,0,0,0,1,1,4,0,2,1,0,0,0,245,56,0.32432432432432434,0.20833333333333334,96
-8591481692704012845,1196380,4618,33,0,17,0,222,0,315,1,0,2,0,5,1,4,0,12,0,0,0,0,3,0,0,0,0,0,0,592,57,0.7047619047619048,0.07657657657657657,315
-8580755919297455556,2778096,11486,267,0,25,0,628,0,447,2,1,6,0,3,13,4,4,227,0,0,2,0,0,0,0,1,0,0,0,1374,58,1.4049217002237135,0.03980891719745223,161
-8508303341002541167,1335652,5207,16,0,4,0,89,0,548,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,661,60,0.1624087591240876,0.0449438202247191,634
-8504782148214780538,1742161,6519,41,3,30,3,322,4,454,1,0,2,0,1,3,3,2,0,0,0,2,0,3,0,7,0,0,0,0,862,61,0.7092511013215859,0.09316770186335403,154
-8496766499477116066,1361878,5139,7,0,15,0,156,0,492,1,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,674,63,0.3170731707317073,0.09615384615384616,380
-8471752475326293067,279223,1009,16,0,12,1,75,1,31,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,138,66,2.4193548387096775,0.16,436
-8466535334944449383,1560644,5725,7,0,10,0,153,0,597,1,0,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,772,68,0.2562814070351759,0.06535947712418301,709
-8444785700959345473,1233202,4617,18,0,12,0,163,0,413,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,5,0,0,0,0,610,69,0.3946731234866828,0.0736196319018405,162
-8442870470687860020,1318028,5108,188,0,13,0,203,0,242,1,0,2,0,2,0,4,0,183,0,0,1,0,0,0,0,0,0,0,0,652,70,0.8388429752066116,0.06403940886699508,746
-8441879487518339884,1032569,3840,5,0,13,0,43,0,446,1,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,511,71,0.09641255605381166,0.3023255813953488,1816
-8434405198805397228,1644763,6605,59,0,10,0,176,1,563,1,0,1,0,2,0,4,2,35,0,0,1,0,0,0,2,0,0,0,0,814,72,0.31261101243339257,0.056818181818181816,302
-8425367166596623971,1386179,5400,9,0,16,1,138,1,516,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,686,73,0.26744186046511625,0.11594202898550725,318
-8421449020456031357,535293,2120,11,3,2,0,88,0,156,1,1,1,1,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,265,74,0.5641025641025641,0.022727272727272728,196
-8336255314515822106,2392194,8943,7,0,92,0,670,0,411,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1184,76,1.6301703163017032,0.1373134328358209,717
-8284081570159496163,471469,1841,11,0,8,0,47,0,160,1,1,6,0,0,0,4,0,0,0,0,0,0,1,0,2,0,1,0,0,233,78,0.29375,0.1702127659574468,880
-8254778830971989889,980528,3994,26,0,41,1,30,0,383,1,0,0,0,10,5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,485,79,0.0783289817232376,1.3666666666666667,193
-8246982033063576396,2677751,10606,41,1,37,0,446,0,795,1,0,0,1,0,0,4,0,36,0,0,0,0,2,0,0,0,0,0,0,1325,80,0.5610062893081761,0.08295964125560538,722
-8228509005928035092,1814773,6908,15,0,35,0,175,1,667,1,0,11,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,898,81,0.2623688155922039,0.2,219
-8226556503917153620,727421,2718,2,0,5,0,107,0,241,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,360,83,0.44398340248962653,0.04672897196261682,1417
-8210568725332993334,3538676,13025,622,6,0,0,684,1,429,1,0,3,0,2,92,6,0,307,0,0,3,2,1,0,5,16,0,2,0,1752,84,1.5944055944055944,0.0,83
-8202199474065306875,74818,391,30,0,0,0,1,0,3,1,0,0,0,2,0,2,0,16,0,0,1,0,1,0,0,0,0,0,0,37,86,0.3333333333333333,0.0,729
-8195284402187019503,1668824,6060,28,0,5,0,539,0,250,1,0,0,0,1,11,3,0,0,0,0,0,0,0,0,6,8,0,0,0,826,87,2.156,0.00927643784786642,134
-8194436688611973519,1547803,5910,20,0,13,5,230,3,491,1,0,0,0,7,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,766,88,0.4684317718940937,0.05652173913043478,256
