CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7010510342748082784,6,0,4,0,10,0,902,1,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,926,58,0.011086474501108648,0.4,-53
-6818709734020143629,94,0,69,8,571,5,635,1,0,2,0,2,1,5,2,74,0,0,0,0,4,0,1,1,0,0,1388,61,0.8992125984251969,0.12084063047285463,13
-6790631518461061502,41,0,46,0,338,0,1214,1,0,1,0,1,2,5,4,11,0,0,0,0,0,0,7,0,0,0,1645,62,0.2784184514003295,0.13609467455621302,105
-6744167893657008546,48,1,9,9,66,8,220,1,0,13,0,11,5,4,1,0,0,0,1,0,0,1,1,0,2,0,368,64,0.3,0.13636363636363635,-26
-6660345576974130847,147,0,34,0,205,0,379,1,0,1,0,2,7,4,0,128,0,0,1,0,0,0,0,1,0,0,771,66,0.5408970976253298,0.16585365853658537,-252
-6530624777430011960,28,2,3,20,32,21,77,1,0,0,0,0,25,3,0,0,0,0,2,0,1,2,0,0,0,0,187,67,0.4155844155844156,0.09375,3
-6483971988094031572,12,0,17,0,215,0,555,1,0,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,803,71,0.38738738738738737,0.07906976744186046,-139
-6441900937252259965,16,0,15,1,99,1,402,1,0,0,0,0,0,5,1,6,0,0,0,0,3,0,0,0,0,0,540,72,0.2462686567164179,0.15151515151515152,174
-6171746212769013547,7,0,14,1,449,2,841,1,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,1,0,1,1320,74,0.5338882282996433,0.031180400890868598,454
-6061965555223657586,4,0,36,4,650,2,373,1,0,1,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,1074,77,1.742627345844504,0.055384615384615386,-289
-6049570537394932747,11,0,26,0,598,0,579,1,0,1,0,1,1,3,0,0,0,0,0,0,1,0,3,0,0,0,1218,79,1.0328151986183074,0.043478260869565216,254
-5968559310524040605,20,0,8,0,463,0,811,1,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1306,81,0.5709001233045623,0.017278617710583154,30
-5939722819055984299,123,0,31,1,139,2,412,1,0,4,0,3,0,3,2,105,0,0,0,0,0,0,1,0,0,0,712,82,0.33737864077669905,0.22302158273381295,234
-5760014016219071183,12,0,29,0,216,0,656,1,0,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,917,83,0.32926829268292684,0.13425925925925927,827
-5742895356362100559,274,0,61,0,540,0,1034,1,0,3,0,4,0,6,5,251,0,0,0,0,0,0,1,0,0,0,1916,85,0.5222437137330754,0.11296296296296296,-1
-5713531855049494109,15,0,30,0,578,0,861,1,0,1,0,1,1,4,4,5,0,0,0,0,1,0,0,0,0,0,1489,86,0.6713124274099884,0.05190311418685121,-71
-5417602618748645204,17,0,20,0,306,0,360,1,0,2,0,3,1,5,0,7,0,0,0,0,0,0,0,0,0,0,709,89,0.85,0.06535947712418301,13
-5374280373648718728,10,0,1,0,19,0,91,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,124,91,0.2087912087912088,0.05263157894736842,365
-5348106785397086848,59,0,11,0,128,0,507,1,0,0,0,2,0,4,0,53,0,0,0,0,0,0,0,0,0,0,710,93,0.252465483234714,0.0859375,47
-5256542463348651930,275,1,28,0,735,0,482,1,0,4,0,8,2,3,2,244,0,0,1,0,0,0,1,0,0,0,1525,96,1.5248962655601659,0.0380952380952381,34
-5161998943714438438,54,0,36,0,279,0,709,1,0,1,0,0,1,5,0,29,0,0,0,0,3,0,1,6,0,0,1084,98,0.3935119887165021,0.12903225806451613,174
-5123831164705290246,103,0,58,2,377,1,610,1,0,1,0,0,1,5,0,95,0,0,0,0,1,0,0,1,0,0,1157,99,0.6180327868852459,0.15384615384615385,181
-5096185894353951257,65,0,4,0,72,0,115,1,0,1,0,1,2,3,0,0,0,0,0,0,0,0,15,13,0,0,260,100,0.6260869565217392,0.05555555555555555,27
-5042074203120848926,21,0,78,0,547,0,378,1,0,1,0,0,0,4,8,0,0,0,0,0,4,0,0,0,0,0,1029,101,1.447089947089947,0.1425959780621572,-20
-5025315013505885548,9,0,21,0,93,0,308,1,0,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,435,102,0.30194805194805197,0.22580645161290322,1415
-5019571105787427096,16,0,16,0,246,0,470,1,0,1,0,0,2,3,0,0,0,0,0,0,1,0,4,0,0,0,752,103,0.5234042553191489,0.06504065040650407,75
