ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals
0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.08823529411764706,136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4
0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.0,101
0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,1.018181818181818,0.017857142857142856,117
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.125,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.1,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6195652173913043,0.0,153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.16666666666666666,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611510791366906,0.0,218
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.18181818181818182,0.05555555555555555,129
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469387755102041,0.29411764705882354,148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.03496503496503497,0.0,159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240601503759399,0.0,219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.09090909090909091,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13725490196078433,0.0,60
0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.2857142857142857,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.0,62
0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.3225806451612903,0.2,134
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22413793103448276,0.23076923076923078,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35135135135135137,0.0,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7717391304347826,0.0,164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877551020408163,0.05263157894736842,73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8734177215189873,0.028985507246376812,170
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.07142857142857142,94
