ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals
0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.5154639175257731,0.04,152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4
0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0958904109589041,0.0,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868421052631579,0.0,145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15942028985507245,0.2727272727272727,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.06666666666666667,68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.017241379310344827,139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.5,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.16853932584269662,0.06666666666666667,115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,51
0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.524390243902439,0.13953488372093023,135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424657534246575,0.0,164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.014705882352941176,200
