ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,CAMPAIGN_LOST,Totals
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,73
0.0,3.8578758535550326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6703296703296704,0.06557377049180328,STNL to BP,161
0.0,0.0,0.0,0.0,0.0,7.431629013079666e-05,0.0,0.0,1.2156862745098038,0.0,STNL to BP,116
1.4457343607685523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6382978723404256,0.07142857142857142,BP to STH,263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4324324324324327,0.04716981132075471,STNL to BP,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,STNL to BP,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,STNL to BP,210
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,0.07692307692307693,STNL to BP,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,STNL to BP,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849056603773585,0.0,STNL to BP,234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,STNL to BP,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,STNL to BP,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766990291262137,0.0,STNL to BP,113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,STNL to BP,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391304347826087,0.0625,STNL to BP,285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636363636363637,0.03225806451612903,STNL to BP,88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,STNL to BP,143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08284023668639054,0.07142857142857142,STNL to BP,185
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.125,STNL to BP,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.05555555555555555,STNL to BP,84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,2.712673611111111e-05,0.0,0.26206896551724135,0.10526315789473684,BP to STH,192
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,45
0.0,0.0,0.0,5.250997689561017e-05,0.0,0.0,0.0,0.0,0.25961538461538464,0.0,STNL to BP,138
0.0,5.250997689561017e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7260273972602739,0.13207547169811323,STNL to BP,138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.0,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,STNL to BP,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18095238095238095,0.0,STNL to BP,125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.15384615384615383,STNL to BP,168
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,STNL to BP,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315788,0.05555555555555556,STNL to BP,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.5,STNL to BP,121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58564308508731e-05,0.2595419847328244,0.0,STNL to BP,167
0.0,0.0,2.869605142332415e-05,0.0,0.0,2.869605142332415e-05,0.0,0.0,0.48201438848920863,0.05970149253731344,BP to STH,264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169491525423728,0.049180327868852465,STNL to BP,183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,STNL to BP,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,STNL to BP,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,STNL to BP,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902439024390244,0.0,STNL to BP,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4851485148514851,0.0,STNL to BP,154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,STNL to BP,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,STNL to BP,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028735632183908046,0.0,STNL to BP,183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052633,0.0,STNL to BP,109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922330097087379,0.04918032786885246,BP to STH,170
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4137931034482759,0.08333333333333333,STNL to BP,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07142857142857142,STNL to BP,161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48529411764705876,0.060606060606060615,STNL to BP,104
0.0,0.0,0.0,0.0,0.0,1.5140274644582053e-05,0.0,1.5140274644582053e-05,0.9159663865546218,0.06422018348623854,BP to STH,257
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,STNL to BP,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14606741573033707,0.15384615384615383,STNL to BP,106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,STNL to BP,54
0.0,0.0,5.73921028466483e-05,0.0,0.0,5.73921028466483e-05,0.0,5.73921028466483e-05,0.15533980582524273,0.125,STNL to BP,132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,STNL to BP,127
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032490974729241874,0.2222222222222222,STNL to BP,288
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0746268656716418,0.2,STNL to BP,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,STNL to BP,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169811320754717,0.0,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,STNL to BP,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620689655172414,0.0,STNL to BP,65
0.0,0.0,1.707533638412677e-05,0.0,0.0,0.0,0.0,0.0,0.22872340425531915,0.11627906976744187,STNL to BP,242
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.2,STNL to BP,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,STNL to BP,92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05633802816901409,0.0,STNL to BP,77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3727272727272727,0.07317073170731708,STNL to BP,158
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055045871559633,0.017391304347826087,STNL to BP,229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13402061855670105,0.38461538461538464,STNL to BP,116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.0,STNL to BP,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,STNL to BP,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08878504672897197,0.05263157894736841,STNL to BP,237
