ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals
0.0,0.0,4.918997684568761e-09,2.213548958055943e-08,0.0,2.4594988422843807e-09,1.9675990738275046e-08,0.0,0.21951219512195122,0.1111111111111111,142
0.0,0.0,1.7741802839285146e-10,0.0,0.0,0.0,0.0,3.548360567857029e-10,0.5602836879432624,0.037974683544303806,274
1.9184131497956072e-13,0.0,0.0,0.0,0.0,1.9184131497956072e-13,0.0,7.673652599182429e-13,0.26124567474048443,0.10264900662251654,1511
0.0,0.0,2.0843916484529747e-09,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.1111111111111111,176
2.925002069438964e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.925002069438964e-11,0.6707317073170732,0.030303030303030304,430
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,,,5
0.0,0.0,3.123478569108771e-11,0.0,0.0,0.0,0.0,0.0,0.10372340425531913,0.05128205128205129,423
2.222291083121409e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050847457627121,0.0,259
0.0,0.0,2.028873297615276e-09,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.21428571428571425,149
1.3169450305669265e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.3169450305669265e-09,0.09859154929577464,0.0,166
0.0,0.0,5.446513923116076e-10,0.0,0.0,0.0,0.0,0.0,0.6557377049180328,0.0,207
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,,5
0.0,0.0,4.3225653906885883e-07,0.0,0.0,0.0,0.0,4.3225653906885883e-07,0.04545454545454545,1.0,39
1.8281262933993526e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6136363636363636,0.1111111111111111,86
7.39575445891399e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04024767801857585,0.0,341
7.3502985279645335e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511627906976744,0.0,108
0.0,0.0,5.141890467449263e-06,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.0,21
0.0,0.0,3.2756302484109944e-11,0.0,0.0,0.0,0.0,1.637815124205497e-10,0.09782608695652174,0.0,418
0.0,0.0,1.3755253362347334e-10,0.0,0.0,1.3755253362347334e-10,0.0,0.0,0.22844827586206898,0.0,292
1.0421958242264874e-09,0.0,0.0,0.0,0.0,2.0843916484529747e-09,0.0,0.0,0.1796875,0.1739130434782609,176
0.0,0.0,1.6885021057377298e-09,0.0,0.0,0.0,0.0,0.0,0.027027027027027025,0.0,156
8.724262170303852e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.06122448979591836,184
0.0,0.0,1.167685528351514e-12,0.0,0.0,0.0,0.0,1.167685528351514e-12,1.7135678391959799,0.0439882697947214,1144
1.999167013744273e-06,0.0,6.663890045814243e-07,0.0,0.0,0.0,0.0,6.663890045814243e-07,0.1176470588235294,1.0,35
0.0,0.0,2.1882987290360984e-10,0.0,0.0,0.0,0.0,0.0,0.4879518072289157,0.02469135802469136,260
9.31720606086006e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,181
