ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals,Cust_ID
0.0,0.0,0.0,0.0007410151908114,0.0,0.0,0.0048165987402741,0.0,2.645772594752186,0.0826446280991735,2699,13501
0.0,0.0,0.0,0.0013140604467805,0.0,0.0,0.0078843626806833,0.0,0.3146473779385171,0.0689655172413793,761,13502
0.0,0.0,0.001412429378531,0.001412429378531,0.0,0.001412429378531,0.0070621468926553,0.0,0.2666666666666666,0.2916666666666667,708,13503
0.0,0.0,0.0015527950310559,0.0031055900621118,0.0,0.0,0.0201863354037267,0.0,0.3939393939393939,0.358974358974359,644,13504
0.0,0.0,0.0,0.0015384615384615,0.0,0.0,0.0061538461538461,0.0,0.09284332688588,0.0625,650,13505
0.0010438413361169,0.0,0.0,0.0020876826722338,0.0,0.0,0.0083507306889352,0.0,0.4020442930153322,0.0805084745762711,958,13506
0.0,0.0,0.0,0.0017825311942959,0.0,0.0053475935828877,0.0026737967914438,0.0017825311942959,1.1480637813211845,0.1428571428571428,1122,13507
0.0014326647564469,0.0,0.0,0.0014326647564469,0.0,0.0014326647564469,0.0014326647564469,0.0,0.6517150395778364,0.1983805668016194,698,13508
0.0,0.0,0.0021857923497267,0.0021857923497267,0.0,0.0,0.0153005464480874,0.0010928961748633,1.1939058171745152,0.0835266821345707,915,13509
0.0,0.0,0.0,0.0010741138560687,0.0,0.0,0.0010741138560687,0.0,0.2634730538922156,0.0852272727272727,931,13510
0.0011001100110011,0.0,0.0011001100110011,0.0011001100110011,0.0,0.0011001100110011,0.0132013201320132,0.0,0.2365771812080536,0.3404255319148936,909,13511
0.0,0.0,0.0010070493454179,0.0020140986908358,0.0,0.0,0.0,0.0,0.7177033492822966,0.1233333333333333,993,13512
0.0,0.0,0.0013679890560875,0.0013679890560875,0.0,0.0,0.0027359781121751,0.0,0.2722117202268431,0.1458333333333333,731,13513
0.0,0.0,0.0,0.0017746228926353,0.0,0.0,0.0088731144631765,0.0,0.935483870967742,0.0229885057471264,1127,13514
0.0,0.0,0.0,0.0022701475595913,0.0,0.0,0.0011350737797956,0.0,0.4636174636174636,0.1569506726457399,881,13515
0.0,0.0,0.0019157088122605,0.0095785440613026,0.0,0.0,0.0191570881226053,0.0,2.845360824742268,0.1557971014492753,522,13516
0.0005376344086021,0.0,0.0016129032258064,0.0005376344086021,0.0,0.0,0.0,0.0,0.3072100313479624,0.1045918367346938,1860,13517
0.0,0.0,0.0,0.0004849660523763,0.0,0.001454898157129,0.0009699321047526,0.004364694471387,0.4511041009463722,0.1853146853146853,2062,13518
0.0,0.0,0.0,0.0013440860215053,0.0,0.0,0.0094086021505376,0.0006720430107526,0.3011695906432748,0.1197411003236245,1488,13519
0.0,0.0,0.0,0.0015220700152207,0.0,0.0,0.0106544901065449,0.0,0.8407079646017699,0.0280701754385964,657,13520
0.0,0.0,0.0075757575757575,0.0151515151515151,0.0,0.0,0.0,0.0,0.074074074074074,1.0,132,13521
0.0,0.0,0.0012722646310432,0.0025445292620865,0.0,0.0,0.0216284987277353,0.0,1.0277777777777777,0.0990990990990991,786,13522
0.0,0.0,0.0007451564828614,0.0007451564828614,0.0,0.0,0.0,0.0007451564828614,0.940691927512356,0.1453590192644483,1342,13523
0.0317460317460317,0.0079365079365079,0.0079365079365079,0.0,0.0158730158730158,0.0158730158730158,0.0555555555555555,0.0079365079365079,,,126,13524
0.0,0.0,0.0038167938931297,0.0038167938931297,0.0,0.0038167938931297,0.0114503816793893,0.0,0.2133333333333333,0.75,524,13525
0.0,0.0,0.0030487804878048,0.0030487804878048,0.0,0.0,0.0060975609756097,0.0,0.3915211970074813,0.2101910828025477,656,13526
0.0,0.0,0.0,0.0030581039755351,0.0,0.0,0.0305810397553516,0.0076452599388379,0.2099737532808399,0.0625,654,13527
0.0,0.0,0.0009276437847866,0.0018552875695732,0.0,0.0,0.0037105751391465,0.0009276437847866,0.5844594594594594,0.0606936416184971,1078,13528
0.0005497526113249,0.0,0.0,0.0010995052226498,0.0,0.0021990104452996,0.0115448048378229,0.0005497526113249,0.3395427603725656,0.2394014962593516,1819,13529
0.001010101010101,0.0,0.0,0.002020202020202,0.0,0.0,0.0151515151515151,0.0,0.5025466893039049,0.0844594594594594,990,13530
0.0,0.0012919896640826,0.0025839793281653,0.0025839793281653,0.0,0.0,0.0,0.0,0.4740566037735849,0.154228855721393,774,13531
0.0,0.0,0.0013037809647979,0.0013037809647979,0.0,0.0,0.0091264667535853,0.0,2.066225165562914,0.0405982905982906,1534,13532
0.0,0.0,0.0014689680499449,0.0003672420124862,0.0,0.0018362100624311,0.0022034520749173,0.0040396621373485,1.646744930629669,0.0362929358392741,2723,13533
0.0,0.0,0.0051679586563307,0.0025839793281653,0.0,0.0051679586563307,0.0180878552971576,0.0025839793281653,0.1151079136690647,0.125,387,13534
0.0,0.0,0.0,0.0021645021645021,0.0,0.0,0.0,0.0,0.3132911392405063,0.2222222222222222,462,13535
0.0,0.0,0.0,0.0017543859649122,0.0,0.0,0.0105263157894736,0.0,0.14004914004914,0.3508771929824561,570,13536
0.000611620795107,0.0,0.000611620795107,0.001223241590214,0.0,0.0,0.000611620795107,0.0,0.7028639618138425,0.0764006791171477,1635,13537
0.0021231422505307,0.0,0.0,0.0021231422505307,0.0,0.0,0.0,0.0,0.3493589743589743,0.1559633027522936,471,13538
0.0,0.0013440860215053,0.0026881720430107,0.0026881720430107,0.0,0.0147849462365591,0.0026881720430107,0.0,0.4850948509485094,0.1899441340782122,744,13539
0.0,0.0,0.001547987616099,0.0030959752321981,0.0,0.0,0.001547987616099,0.0,0.1428571428571428,0.1323529411764706,646,13540
0.0011556240369799,0.0,0.0,0.0003852080123266,0.0,0.0,0.0,0.0,0.9838449111470112,0.0558292282430213,2596,13541
0.0,0.0,0.0,0.003883495145631,0.0,0.0,0.0058252427184466,0.0,0.6104417670682731,0.1776315789473684,515,13542
0.0,0.0,0.0041152263374485,0.0013717421124828,0.0,0.0041152263374485,0.0219478737997256,0.0,0.5907928388746803,0.2034632034632034,729,13543
0.0,0.0,0.0,0.0019880715705765,0.0,0.0059642147117296,0.0218687872763419,0.0019880715705765,0.2877492877492877,0.1782178217821782,503,13544
0.0,0.0016680567139282,0.0075062552126772,0.0016680567139282,0.0,0.0,0.0,0.0075062552126772,0.7014388489208633,0.3307692307692307,1199,13545
0.047808764940239,0.0,0.0,0.0318725099601593,0.0,0.0,0.0,0.0,0.0275862068965517,3.0,251,13546
0.0006583278472679,0.0,0.0,0.0046082949308755,0.0,0.0,0.0111915734035549,0.0,0.660427807486631,0.1255060728744939,1519,13547
0.0,0.0,0.0,0.004778156996587,0.0,0.0006825938566552,0.0204778156996587,0.0013651877133105,0.4431418522860492,0.1349206349206349,1465,13548
