ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals,Cust_ID
3.3955866494103406e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,131,42
9.5367431640625e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1716417910447761,0.0,320,43
1.6864529762100512e-10,0.0,8.432264881050256e-11,0.0,0.0,0.0,0.0,0.0,2.020408163265306,0.0808080808080808,330,44
0.0,0.0,5.335720890574503e-07,0.0,0.0,0.0,0.0,0.0,0.0,,37,45
0.0,0.0,1.1773756992669752e-08,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.5714285714285714,96,46
3.3955866494103406e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2545454545454546,0.0144927536231884,131,47
6.3884782157475386e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704491725768323,0.0,629,48
0.0,0.0,6.348012922776867e-08,0.0,0.0,6.348012922776867e-08,0.0,0.0,0.1111111111111111,0.3999999999999999,63,49
0.0,0.0,3.813394670955652e-12,0.0,0.0,0.0,0.0,0.0,0.3853989813242783,0.0881057268722467,851,50
0.0,0.0,1.0828124103295972e-06,0.0,0.0,0.0,0.0,0.0,0.5294117647058825,0.0,31,51
0.0,0.0,9.961391082604142e-10,0.0,0.0,0.0,0.0,0.0,0.16,0.0,178,52
3.3955866494103406e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558139534883721,0.4090909090909091,131,53
2.923104668287017e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661157024793388,0.0,136,54
0.0,0.0,1.1773756992669752e-08,0.0,0.0,0.0,0.0,0.0,0.2941176470588235,0.0,96,55
5.7175324559303334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1397849462365591,0.2307692307692307,115,56
0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0,0.0,,,3,57
3.010682277054273e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,135,58
5.367085597867578e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.367085597867578e-12,0.2378167641325536,0.0655737704918032,657,59
1.6269262807163682e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6269262807163682e-06,0.0,,28,60
0.0,0.0,6.63949572111092e-10,0.0,0.0,0.0,0.0,0.0,0.0,,197,61
5.2701655506564094e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000002,0.1999999999999999,66,62
0.0,0.0,1.4138652105740152e-10,0.0,0.0,0.0,0.0,0.0,0.2347826086956521,0.0,290,63
7.673360394717659e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,19,64
2.5731678677539075e-11,0.0,2.5731678677539075e-11,0.0,0.0,1.0292671471015629e-10,0.0,0.0,0.5381679389312977,0.0709219858156028,444,65
0.0,2.222291083121409e-10,2.222291083121409e-10,0.0,0.0,0.0,0.0,6.666873249364226e-10,0.0256410256410256,1.166666666666667,259,66
0.0,0.0,1.7455126056469324e-08,0.0,0.0,0.0,0.0,0.0,0.375,0.1904761904761905,87,67
1.306342401191784e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654396728016359,0.0,526,68
0.0,0.0,4.4123819327076655e-11,0.0,0.0,4.4123819327076655e-11,0.0,0.0,0.2857142857142857,0.0476190476190476,388,69
0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,70
0.0,0.0,4.095999999999999e-09,0.0,0.0,4.095999999999999e-09,0.0,0.0,0.6000000000000001,0.0476190476190476,125,71
1.7741802839285146e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078838174273858,0.0,274,72
1.5812610256113155e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.0,282,73
0.0,0.0,1.6885021057377296e-09,0.0,0.0,0.0,0.0,0.0,0.1185185185185185,0.0,156,74
0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,75
0.0,0.0,2.0085509638473684e-08,0.0,0.0,0.0,0.0,0.0,0.2063492063492063,0.0769230769230769,84,76
0.0,0.0,1.1973036721303623e-09,0.0,0.0,1.1973036721303623e-09,0.0,0.0,0.1999999999999999,0.0,170,77
3.2756302484109944e-11,3.2756302484109944e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.311377245508982,0.0593607305936073,418,78
0.0,0.0,3.501277966457757e-09,0.0,0.0,0.0,0.0,0.0,0.4875,0.0,130,79
