CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-8896661390588201567,877156,3541,138,0,2,0,87,0,203,1,0,0,0,0,16,2,0,96,0,0,0,0,0,0,0,18,1,0,0,434,114.0,1,0,0,0,0.42857142857142855,0.022988505747126436
-8880293231689299768,848855,3285,81,0,1,0,58,0,275,1,0,0,0,4,1,4,1,56,0,0,1,0,0,0,4,0,0,0,0,420,160.0,1,0,0,0,0.2109090909090909,0.017241379310344827
-8870533109970626564,719903,2746,30,0,8,0,25,0,287,1,0,1,0,0,0,5,0,28,0,0,0,0,1,0,0,0,0,0,0,356,0.0,0,0,1,0,0.08710801393728224,0.32
-8868999978650741459,1079420,4188,2,0,14,0,138,0,376,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,534,0.0,0,0,1,0,0.3670212765957447,0.10144927536231885
-8853238214167086416,784097,3120,23,0,13,0,73,0,274,1,0,0,0,2,0,4,2,14,0,0,0,0,1,0,0,0,0,0,0,388,204.0,0,1,0,0,0.2664233576642336,0.1780821917808219
-8850468154915730574,1032849,4013,1,0,11,0,73,0,421,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,511,0.0,0,0,1,0,0.17339667458432304,0.1506849315068493
-8847324418103906474,984193,3780,1,0,3,0,190,0,289,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,487,0.0,0,0,1,0,0.657439446366782,0.015789473684210527
-8846182607787918245,1779700,6996,9,0,18,0,293,0,558,1,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,881,279.0,0,1,0,0,0.525089605734767,0.06143344709897611
-8844961738183090924,612560,2376,4,0,13,0,26,0,253,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,303,2048.0,0,0,1,0,0.10276679841897234,0.5
-8805345391671535675,612376,2177,1,0,7,0,70,0,220,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,303,0.0,0,0,1,0,0.3181818181818182,0.1
-8802569246329100459,1317928,5355,30,0,5,0,99,0,513,1,0,0,0,2,0,4,5,19,0,0,1,0,0,0,0,0,0,0,0,652,307.0,0,1,0,0,0.19298245614035087,0.050505050505050504
-8787938395981277595,1454341,5433,18,0,1,0,454,0,242,1,0,1,0,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,720,112.0,1,0,0,0,1.8760330578512396,0.0022026431718061676
-8784361136579812532,770010,2842,1,0,1,0,87,0,288,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,381,0.0,0,0,1,0,0.3020833333333333,0.011494252873563218
-8778160020102507856,2367190,9073,289,1,25,0,120,0,727,1,0,7,0,6,2,7,9,235,0,0,0,1,7,0,2,0,1,0,0,1171,81.0,1,0,0,0,0.16506189821182943,0.20833333333333334
-8766097164123093799,679049,2697,6,0,3,0,44,0,279,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,336,1371.0,0,0,1,0,0.15770609318996415,0.06818181818181818
