CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-9160061039427330000,264788,1013,12,0,6,0,34,0,79,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,131,STNL to BP,,0,0,0,1,0.43037974683544306,0.17647058823529413,11.0
-9159585656079250000,123232,421,0,0,0,0,5,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,,0,0,0,1,0.09090909090909091,0.0,0.0
-9159373994065470000,151540,517,1,0,0,0,17,1,54,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,STNL to BP,,0,0,0,1,0.3148148148148148,0.0,1.0
-9155981214299120000,72752,322,2,0,0,0,5,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,STNL to BP,,0,0,0,1,0.1724137931034483,0.0,0.0
-9153997491441060000,339379,1293,0,0,0,0,71,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,STNL to BP,,0,0,0,1,0.7319587628865979,0.0,0.0
-9153150908730090000,8073,27,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STNL to BP,,0,0,0,1,,,0.0
-9150039727310990000,165768,577,2,0,0,0,27,0,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,STNL to BP,,0,0,0,1,0.5094339622641509,0.0,1.0
-9145948212786640000,183890,670,0,0,1,0,6,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,STNL to BP,,0,0,0,1,0.07142857142857142,0.16666666666666666,0.0
-9142848134764360000,94963,352,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,STNL to BP,,0,0,0,1,0.0,,0.0
-9141066939313830000,309279,1247,30,0,1,1,59,2,59,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,153,BP to STH,,0,0,0,1,1.0,0.01694915254237288,3.62
-9138321112209010000,139463,509,0,0,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,STNL to BP,,0,0,0,1,0.014705882352941176,0.0,0.0
-9138288751863870000,105100,339,0,0,0,0,5,0,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,STNL to BP,,0,0,0,1,0.1111111111111111,0.0,0.0
-9135340124860260000,214261,803,0,0,0,0,25,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,STNL to BP,,0,0,0,1,0.3125,0.0,0.0
-9133173829533220000,8065,32,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STNL to BP,,0,0,0,1,0.0,,0.0
-9132526790263680000,145491,571,2,0,1,0,12,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,0.0,0,0,1,0,0.21052631578947367,0.08333333333333333,0.0
-9131659193176950000,103038,407,0,0,0,0,4,0,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,STNL to BP,,0,0,0,1,0.08888888888888889,0.0,0.0
