CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-9157915483923582597,5,0,68,0,892,0,503,1,0,7,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1479,278.0,0,1,0,0,1.7733598409542743,0.07623318385650224
-9141810862643511111,0,0,5,0,127,0,476,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,612,,0,0,0,1,0.2668067226890756,0.03937007874015748
-9116334708896324979,85,0,22,0,116,0,376,1,0,0,0,0,0,3,0,82,0,0,0,0,1,0,1,1,0,0,603,27.0,1,0,0,0,0.30851063829787234,0.1896551724137931
-9090058647971006971,217,0,6,0,10,0,55,1,0,4,0,0,1,3,0,210,0,0,0,0,1,0,0,0,0,0,292,0.0,0,0,1,0,0.18181818181818182,0.6
-9037673472788855146,1,0,2,0,47,0,451,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,505,,0,0,0,1,0.10421286031042129,0.0425531914893617
-9012908103242928757,42,0,9,0,90,0,296,1,0,0,0,5,0,3,0,24,0,0,0,0,0,0,0,1,0,0,441,224.0,0,1,0,0,0.30405405405405406,0.1
-8969161225324756307,27,0,39,0,351,0,279,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,6,0,0,0,700,146.0,1,0,0,0,1.2580645161290323,0.1111111111111111
-8953369186187304802,4,0,43,0,222,0,324,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,597,334.0,0,1,0,0,0.6851851851851852,0.19369369369369369
-8944279931800903083,14,0,21,1,383,1,229,1,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,0,654,1028.0,0,0,1,0,1.6724890829694323,0.05483028720626632
-8908214432887373553,26,0,10,0,121,0,592,1,0,0,0,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,753,0.0,0,0,1,0,0.20439189189189189,0.08264462809917356
-8904016174467606188,311,0,22,6,125,6,494,1,0,2,0,0,2,3,0,294,0,0,1,0,1,0,1,9,0,0,969,49.0,1,0,0,0,0.25303643724696356,0.176
-8823143030947066599,274,0,10,0,288,0,265,1,0,1,0,22,9,5,0,214,0,0,0,0,1,0,0,0,0,0,843,50.0,1,0,0,0,1.0867924528301887,0.034722222222222224
-8764571205881441145,8,0,14,0,104,0,459,1,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,589,784.0,0,1,0,0,0.22657952069716775,0.1346153846153846
-8724293523212305214,29,0,3,0,428,0,328,1,0,0,0,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,792,132.0,1,0,0,0,1.3048780487804879,0.007009345794392523
-8595620673097257954,0,0,6,0,162,0,321,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,493,,0,0,0,1,0.5046728971962616,0.037037037037037035
-8579243188925613602,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,1,,
-8563383892407729413,261,0,35,2,386,4,1188,1,0,3,0,5,0,3,0,225,0,0,0,0,3,0,0,0,0,0,1880,224.0,0,1,0,0,0.32491582491582494,0.09067357512953368
-8546414107986006688,46,0,77,1,413,1,1169,1,0,7,0,6,0,3,8,5,0,0,0,0,0,0,2,0,0,0,1711,131.0,1,0,0,0,0.3532934131736527,0.1864406779661017
-8545723227759132764,4,0,15,0,149,0,810,1,0,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,983,0.0,0,0,1,0,0.18395061728395062,0.10067114093959731
-8541684936303598204,0,0,2,0,191,0,278,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,475,,0,0,0,1,0.6870503597122302,0.010471204188481676
-8527154437507280396,12,0,0,0,0,0,1,1,0,1,0,0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,19,0.0,0,0,1,0,0.0,
-8512051865524996985,38,0,9,0,91,2,178,1,0,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,323,,0,0,0,1,0.5112359550561798,0.0989010989010989
-8395702843977383706,132,0,54,0,451,0,512,2,1,6,0,0,0,5,0,121,0,0,0,0,1,0,0,0,0,0,1157,0.0,0,0,1,0,0.880859375,0.1197339246119734
-8272766310669968539,22,0,5,8,3,6,54,1,0,0,0,2,0,4,0,9,0,0,0,0,1,0,1,0,0,0,103,283.0,0,1,0,0,0.05555555555555555,1.6666666666666667
-8262710112382693632,26,0,11,0,114,0,250,1,0,0,0,6,0,3,0,0,1,0,0,0,2,0,0,0,0,0,406,175.0,1,0,0,0,0.456,0.09649122807017543
-8256754319375022645,241,0,3,0,66,0,215,1,0,0,0,12,4,5,4,187,0,0,0,0,0,0,0,4,0,0,531,65.0,1,0,0,0,0.30697674418604654,0.045454545454545456
-8239924760846022191,1,0,8,3,197,3,417,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,633,0.0,0,0,1,0,0.4724220623501199,0.04060913705583756
-8214881762988851175,43,0,39,0,207,0,957,2,1,5,0,1,0,3,0,32,0,0,0,0,0,0,3,0,0,0,1252,214.0,0,1,0,0,0.21630094043887146,0.18840579710144928
-8205598831632061841,4,0,16,0,275,0,416,1,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,715,,0,0,0,1,0.6610576923076923,0.05818181818181818
-8137007490398234626,6,1,7,2,104,1,274,1,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,399,491.0,0,1,0,0,0.3795620437956204,0.0673076923076923
-8107343631148959525,21,0,15,0,621,0,316,1,0,3,0,1,0,3,0,5,0,0,0,0,2,0,0,0,0,0,977,741.0,0,1,0,0,1.9651898734177216,0.024154589371980676
