CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-4254066073819660000,915489,3660,15,0,31,0,258,0,149,0,2,1,0,0,0,0,0,0,0,3,6,0,0,453,STNL to BP,71.0,1,0,0,1.7315436241610738,0.12015503875968993
-4247508622357650000,311238,1121,8,0,1,0,28,2,115,0,0,0,4,0,0,0,0,0,0,4,0,0,0,154,BP to STH,756.0,0,1,0,0.24347826086956523,0.03571428571428571
-4182645369851240000,273151,901,94,0,1,1,1,2,36,0,1,0,3,0,0,88,0,0,0,1,0,0,0,135,STNL to BP,0.0,0,0,1,0.027777777777777776,1.0
-4049845093612520000,58696,278,11,0,1,0,9,1,7,0,0,0,0,0,0,7,0,0,0,1,0,0,0,29,BP to STH,0.0,0,0,1,1.2857142857142858,0.1111111111111111
-4047239132518550000,214364,754,22,0,5,0,58,1,20,0,0,0,1,0,0,15,0,0,0,1,0,0,0,106,STNL to BP,0.0,0,0,1,2.9,0.08620689655172414
-3617512968313550000,234694,866,61,0,1,0,31,0,22,0,0,0,2,1,0,41,0,0,0,17,0,0,0,116,STNL to BP,13.0,1,0,0,1.4090909090909092,0.03225806451612903
-3432599289707270000,82872,297,3,0,4,0,6,0,28,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41,STNL to BP,81.0,1,0,0,0.21428571428571427,0.6666666666666666
-3177697347150650000,82956,276,13,0,1,0,0,0,27,0,0,0,1,0,0,0,0,0,0,9,2,0,0,41,STNL to BP,20.0,1,0,0,0.0,inf
-3085494572020240000,218287,674,5,0,3,0,30,1,69,0,0,0,3,0,0,0,0,0,0,2,0,0,0,108,STNL to BP,2178.0,0,0,1,0.43478260869565216,0.1
-2985255302965050000,141215,502,1,0,0,0,48,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,STNL to BP,0.0,0,0,1,2.2857142857142856,0.0
-2763790440788200000,349254,1254,10,0,2,0,39,0,122,0,0,0,0,0,0,0,0,0,0,3,2,0,0,173,BP to STH,270.0,0,1,0,0.319672131147541,0.05128205128205128
-2474326314480530000,127399,521,16,0,4,0,7,0,36,0,0,0,0,0,0,13,0,0,0,1,1,0,0,63,STNL to BP,99.0,1,0,0,0.19444444444444445,0.5714285714285714
-2399213078742300000,179853,702,3,0,6,0,8,0,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,89,STNL to BP,368.0,0,1,0,0.1111111111111111,0.75
-2391493692381240000,278932,935,36,0,1,1,12,1,87,0,0,0,0,0,0,30,0,0,0,3,0,0,0,138,STNL to BP,1089.0,0,0,1,0.13793103448275862,0.08333333333333333
-2291493129650890000,388113,1522,33,0,2,0,63,0,94,0,0,0,0,0,0,30,0,0,0,2,1,0,0,192,STNL to BP,364.0,0,1,0,0.6702127659574468,0.031746031746031744
-2282368375795160000,197707,642,1,0,0,0,83,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98,STNL to BP,0.0,0,0,1,5.928571428571429,0.0
-2192958718224770000,93073,331,5,0,1,0,19,0,21,0,0,0,0,0,0,3,0,0,0,1,1,0,0,46,STNL to BP,108.0,1,0,0,0.9047619047619048,0.05263157894736842
-1951295317821700000,131379,544,6,0,0,0,22,0,37,0,0,0,4,0,0,0,0,0,0,1,0,0,0,65,STNL to BP,0.0,0,0,1,0.5945945945945946,0.0
-1850268771694370000,127401,529,22,0,2,1,0,0,38,0,0,0,1,0,0,17,0,0,0,1,0,0,0,63,STNL to BP,0.0,0,0,1,0.0,inf
-1783165625229600000,48409,196,1,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,STNL to BP,0.0,0,0,1,0.9166666666666666,0.0
-1531847696147910000,181594,753,7,0,0,0,45,0,38,0,0,0,1,0,0,0,0,0,1,2,1,0,0,90,STNL to BP,140.0,1,0,0,1.1842105263157894,0.0
-1497196556130980000,190263,814,35,0,5,3,25,2,23,0,0,0,3,1,0,25,0,0,0,1,1,0,0,94,BP to STH,120.0,1,0,0,1.0869565217391304,0.2
-1428966403003590000,178114,845,38,0,2,0,22,0,26,0,0,0,2,0,0,30,0,0,0,1,4,0,0,88,BP to STH,38.0,1,0,0,0.8461538461538461,0.09090909090909091
-1373367938364100000,538089,1841,71,0,4,1,63,1,125,0,1,0,0,1,0,62,0,0,0,2,5,0,0,266,STNL to BP,101.0,1,0,0,0.504,0.06349206349206349
-1333339848689470000,50434,187,1,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,STNL to BP,0.0,0,0,1,0.043478260869565216,0.0
-1206154528558190000,199760,769,4,0,0,0,22,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,STNL to BP,352.0,0,1,0,0.3013698630136986,0.0
-1144522599890590000,147541,560,28,0,0,0,1,0,44,0,0,0,1,0,0,21,0,0,0,2,0,0,0,73,STNL to BP,1497.0,0,0,1,0.022727272727272728,0.0
-759786816263672000,66604,228,2,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,STNL to BP,59.0,1,0,0,0.631578947368421,0.0
-746345597428304000,248860,1020,97,0,0,0,4,0,22,0,0,0,1,0,0,93,0,0,0,2,0,0,0,123,STNL to BP,0.0,0,0,1,0.18181818181818182,0.0
-617465245550037000,335703,1279,84,0,13,0,20,0,49,0,2,0,0,0,1,75,0,0,0,1,0,0,0,166,BP to STH,166.0,1,0,0,0.40816326530612246,0.65
-467539037840078000,196239,835,72,0,3,1,15,3,3,0,0,0,0,0,0,63,0,0,0,1,4,0,0,97,BP to STH,46.0,1,0,0,5.0,0.2
-403823781018565000,167996,769,58,0,1,0,1,0,22,0,0,0,0,1,0,52,0,0,0,1,4,0,0,83,BP to STH,47.0,1,0,0,0.045454545454545456,1.0
-280904408775428000,141418,576,1,0,0,0,14,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,STNL to BP,0.0,0,0,1,0.2545454545454545,0.0
-255907151874046000,311146,1193,34,0,2,0,40,0,78,0,0,1,0,0,0,28,0,0,0,2,0,0,0,154,STNL to BP,904.0,0,0,1,0.5128205128205128,0.05
-211759868792619000,299139,1163,2,0,12,0,82,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148,STNL to BP,0.0,0,0,1,1.5769230769230769,0.14634146341463414
-178040560375735000,99090,366,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,2,0,0,49,BP to STH,102.0,1,0,0,0.0,
-74112019732765900,394528,1427,82,0,7,0,76,0,30,0,0,3,12,0,0,54,0,0,0,3,1,0,0,195,STNL to BP,152.0,1,0,0,2.533333333333333,0.09210526315789473
-44117088159091100,238347,924,16,0,0,0,30,0,72,0,0,0,1,0,0,13,0,0,0,2,0,0,0,118,STNL to BP,1809.0,0,0,1,0.4166666666666667,0.0
193578500584297030,161782,589,24,0,1,0,9,0,46,0,1,0,1,0,0,15,0,0,0,3,0,0,0,80,STNL to BP,0.0,0,0,1,0.1956521739130435,0.1111111111111111
204167928895183190,279053,893,17,0,14,0,38,0,69,0,0,0,2,0,0,10,0,0,0,2,0,0,0,138,STNL to BP,646.0,0,1,0,0.5507246376811594,0.3684210526315789
235553737516095201,226372,886,28,0,1,0,5,0,78,0,0,1,13,0,0,7,0,0,0,3,0,0,0,112,STNL to BP,726.0,0,1,0,0.0641025641025641,0.2
310759782830323310,54550,195,1,0,1,0,19,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,STNL to BP,0.0,0,0,1,3.1666666666666665,0.05263157894736842
346057203392526740,56657,160,12,0,1,1,0,1,13,0,0,0,1,0,0,6,0,0,0,1,3,0,0,28,BP to STH,60.0,1,0,0,0.0,inf
578417161791703271,216377,876,30,0,2,0,11,0,64,0,0,0,4,0,0,21,0,0,0,1,1,0,0,107,STNL to BP,56.0,1,0,0,0.171875,0.18181818181818182
628776946787236106,214149,810,1,0,3,0,44,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106,BP to STH,0.0,0,0,1,0.7586206896551724,0.06818181818181818
669157830432312925,167614,654,6,0,1,0,29,0,47,0,0,0,4,0,0,0,0,0,0,2,0,0,0,83,STNL to BP,727.0,0,1,0,0.6170212765957447,0.034482758620689655
677338413095527761,78914,266,9,0,0,0,2,0,28,0,0,0,8,0,0,0,0,0,0,1,0,0,0,39,STNL to BP,0.0,0,0,1,0.07142857142857142,0.0
678324460595472309,508622,1939,9,0,0,0,124,0,118,0,0,0,2,0,0,0,1,0,0,3,0,0,0,252,STNL to BP,540.0,0,1,0,1.0508474576271187,0.0
771052760471074984,171989,570,38,0,1,3,24,0,19,0,0,0,0,0,0,32,0,0,0,2,1,0,0,85,BP to STH,155.0,1,0,0,1.263157894736842,0.041666666666666664
922978097249955951,244568,899,41,0,2,0,34,0,43,0,0,0,2,1,0,36,0,0,0,2,1,0,0,121,STNL to BP,1061.0,0,0,1,0.7906976744186046,0.058823529411764705
1068723965835185362,88876,384,2,0,1,0,17,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,STNL to BP,1448.0,0,0,1,0.7083333333333334,0.058823529411764705
1150879983939229082,244460,879,5,0,1,0,20,0,95,0,0,0,1,0,0,0,0,0,0,3,1,0,0,121,STNL to BP,726.0,0,1,0,0.21052631578947367,0.05
1234276751550834786,182006,696,43,0,1,0,1,0,45,0,0,0,3,0,1,38,0,0,0,1,0,0,0,90,STNL to BP,66.0,1,0,0,0.022222222222222223,1.0
1447485705494921310,218285,913,8,0,5,0,50,0,45,0,1,0,1,0,0,0,0,0,0,1,0,0,0,108,STNL to BP,0.0,0,0,1,1.1111111111111112,0.1
1465911429141035883,477195,1853,127,0,5,0,37,0,67,0,0,1,7,0,0,99,0,0,0,3,2,0,0,236,BP to STH,365.0,0,1,0,0.5522388059701493,0.13513513513513514
1593681140592989207,70705,319,1,0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,STNL to BP,0.0,0,0,1,0.25925925925925924,0.0
1632397050665001766,372418,1671,132,0,4,0,33,0,15,0,0,0,1,0,0,127,0,0,0,1,0,0,0,184,BP to STH,0.0,0,0,1,2.2,0.12121212121212122
1784236554793034450,211973,784,2,0,2,0,25,0,76,0,0,0,0,0,0,0,0,0,0,2,0,0,0,105,STNL to BP,1080.0,0,0,1,0.32894736842105265,0.08
1972007633707841336,210170,778,20,0,2,0,49,0,33,0,0,0,1,0,0,12,0,0,0,2,5,0,0,104,STNL to BP,263.0,0,1,0,1.4848484848484849,0.04081632653061224
2040508293628069608,216504,632,5,0,6,1,65,4,26,0,1,0,1,0,0,0,0,0,0,1,2,0,0,107,BP to STH,68.0,1,0,0,2.5,0.09230769230769231
2261765851717197188,230171,836,2,0,0,0,13,0,99,0,0,0,0,0,0,0,0,0,0,2,0,0,0,114,STNL to BP,1080.0,0,0,1,0.13131313131313133,0.0
