primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,0,1,0,0,0.5161290322580645,0.041666666666666664,STNL to BP,145
0,0,0,0,0,0,0,0.125,0.0,STNL to BP,46
0,0,0,0,0,0,0,0.0,,STNL to BP,3
0,0,1,0,0,0,0,0.08450704225352113,0.0,STNL to BP,80
0,0,0,0,0,0,0,0.9041095890410958,0.0,BP to STH,152
0,0,0,0,0,0,0,0.05263157894736842,0.0,STNL to BP,21
0,0,0,0,0,0,0,0.15942028985507245,0.2727272727272727,STNL to BP,87
0,0,0,0,0,0,0,0.0,,STNL to BP,42
0,0,0,0,0,0,0,0.3,0.06666666666666667,STNL to BP,68
0,0,0,0,0,0,0,0.7402597402597403,0.017543859649122806,STNL to BP,135
0,0,0,0,0,0,0,,,STNL to BP,5
0,0,0,0,0,0,0,0.11428571428571428,0.5,STNL to BP,45
0,0,0,0,0,0,0,0.2222222222222222,0.0,STNL to BP,23
0,0,0,0,0,0,0,0.6666666666666666,0.0,STNL to BP,219
0,0,0,0,0,0,0,0.2222222222222222,0.0,STNL to BP,112
0,0,0,0,0,0,0,0.8333333333333334,0.0,STNL to BP,12
0,0,0,0,0,0,0,0.0,,STNL to BP,45
0,0,0,0,0,0,0,0.013888888888888888,0.0,STNL to BP,74
0,0,0,0,0,0,0,0.0,,STNL to BP,84
0,0,0,0,0,0,1,0.1590909090909091,0.07142857142857142,STNL to BP,129
0,0,0,0,0,0,0,0.06382978723404255,0.0,STNL to BP,50
0,0,1,0,0,0,0,0.5584415584415584,0.13953488372093023,STNL to BP,130
0,0,0,0,0,0,0,0.034482758620689655,0.0,STNL to BP,184
0,0,0,0,0,0,0,0.4126984126984127,0.019230769230769232,STNL to BP,182
0,0,0,0,0,0,0,0.4117647058823529,0.0,STNL to BP,49
0,0,2,0,0,0,0,0.14634146341463414,0.0,STNL to BP,50
0,0,0,0,0,0,0,0.19298245614035087,0.18181818181818182,STNL to BP,70
0,0,0,0,0,0,0,0.058823529411764705,0.0,STNL to BP,72
0,0,0,0,0,0,0,0.2803738317757009,0.03333333333333333,STNL to BP,156
0,0,0,0,0,0,0,0.13636363636363635,0.0,STNL to BP,50
0,0,0,0,0,0,0,0.43636363636363634,0.041666666666666664,STNL to BP,85
0,0,0,0,0,0,0,0.17142857142857143,0.0,STNL to BP,42
0,0,0,0,0,0,0,0.6020408163265306,0.0,STNL to BP,158
0,0,0,0,0,0,0,0.5660377358490566,0.06666666666666667,STNL to BP,87
0,0,0,0,0,0,0,0.14457831325301204,0.0,STNL to BP,97
0,0,0,0,0,0,0,0.0,,STNL to BP,48
0,0,0,0,0,0,0,0.8904109589041096,0.046153846153846156,BP to STH,167
0,0,0,0,0,0,0,0.01694915254237288,0.0,STNL to BP,61
0,0,0,0,0,0,0,0.06666666666666667,0.0,STNL to BP,64
0,0,0,0,0,0,1,0.19480519480519481,0.06666666666666667,STNL to BP,94
0,0,0,0,0,0,0,0.3333333333333333,1.0,STNL to BP,7
0,0,0,0,0,0,0,0.17543859649122806,0.0,STNL to BP,71
0,0,0,0,0,0,0,0.15151515151515152,0.0,STNL to BP,38
0,0,0,0,0,0,0,0.04291845493562232,0.4,STNL to BP,250
0,0,0,0,0,0,0,0.14150943396226415,0.0,STNL to BP,122
0,0,0,0,0,0,0,0.7222222222222222,0.0,STNL to BP,95
0,0,0,0,0,0,0,0.6612903225806451,0.04878048780487805,BP to STH,105
0,0,0,0,0,0,0,0.0,,STNL to BP,3
0,0,0,0,0,0,0,0.6470588235294118,0.09090909090909091,BP to STH,88
0,0,0,0,0,0,0,0.09090909090909091,0.0,STNL to BP,60
0,0,0,0,0,0,0,0.023255813953488372,0.0,STNL to BP,45
0,0,0,0,0,0,0,0.0,,STNL to BP,90
0,0,0,0,0,0,0,0.03571428571428571,0.0,STNL to BP,89
0,0,0,0,0,0,0,0.04878048780487805,0.0,STNL to BP,43
0,0,0,0,0,0,0,0.15384615384615385,0.0,STNL to BP,61
0,0,0,0,0,0,0,0.0,,STNL to BP,69
0,0,0,0,0,0,0,0.5208333333333334,0.04,STNL to BP,152
1,0,0,0,2,0,0,1.763157894736842,0.0,STNL to BP,122
0,0,0,0,0,0,0,1.8279569892473118,0.06470588235294118,BP to STH,275
0,0,0,0,0,0,1,1.2307692307692308,0.0234375,STNL to BP,245
0,0,0,0,0,0,0,0.3076923076923077,0.375,STNL to BP,38
0,0,0,0,0,0,0,0.07589285714285714,0.0,STNL to BP,242
0,0,0,0,0,0,0,,,STNL to BP,1
0,0,0,0,0,0,0,0.02631578947368421,0.0,STNL to BP,39
0,0,0,0,0,0,0,0.12244897959183673,0.0,STNL to BP,55
0,0,0,0,0,0,0,0.34782608695652173,0.0625,STNL to BP,65
0,0,0,0,0,0,0,0.07567567567567568,0.0,STNL to BP,201
0,0,0,0,0,0,0,0.41379310344827586,0.0,STNL to BP,83
0,0,0,0,0,0,0,0.02127659574468085,0.0,STNL to BP,49
0,0,0,0,0,0,0,0.0,,STNL to BP,98
1,0,0,0,0,0,0,0.06722689075630252,0.125,STNL to BP,135
0,0,0,0,0,0,0,0.0,,STNL to BP,86
0,0,0,0,0,0,0,0.0,,STNL to BP,44
0,0,0,0,0,0,0,1.4242424242424243,0.03546099290780142,STNL to BP,245
0,0,0,0,0,0,0,0.31746031746031744,0.05,STNL to BP,86
0,0,0,0,0,0,0,0.8591549295774648,0.0,STNL to BP,132
0,0,0,0,0,0,0,0.05699481865284974,0.09090909090909091,STNL to BP,206
0,0,0,0,0,0,0,0.0,,STNL to BP,36
0,0,0,0,0,0,1,0.4,0.0,STNL to BP,16
0,0,0,0,0,0,0,,,STNL to BP,1
0,0,0,0,0,0,0,0.22950819672131148,0.0,STNL to BP,76
0,0,0,0,0,0,0,0.0,,STNL to BP,6
0,0,0,0,0,3,0,0.2805755395683453,0.0,BP to STH,188
0,0,0,0,0,0,0,0.0,,STNL to BP,2
0,0,0,0,0,0,0,0.047619047619047616,0.0,STNL to BP,25
0,0,0,0,0,0,0,0.0,,STNL to BP,61
0,0,1,0,0,2,1,0.5066666666666667,0.02631578947368421,STNL to BP,126
0,0,0,0,0,1,0,1.2244897959183674,0.1,STNL to BP,122
0,0,0,0,0,0,0,0.22580645161290322,0.0,STNL to BP,38
0,0,0,0,0,0,0,0.30158730158730157,0.0,STNL to BP,85
0,0,0,0,0,0,0,0.14705882352941177,0.0,STNL to BP,123
0,0,0,0,0,0,0,,,STNL to BP,7
0,0,0,0,0,0,0,0.1810344827586207,0.19047619047619047,STNL to BP,142
0,0,0,0,0,0,0,,,STNL to BP,1
0,0,0,0,0,0,0,0.1896551724137931,0.0,STNL to BP,69
0,0,0,0,0,0,0,0.3333333333333333,0.047619047619047616,STNL to BP,102
0,0,0,0,0,0,1,0.014705882352941176,0.0,STNL to BP,139
0,0,0,0,0,0,1,0.2972972972972973,0.030303030303030304,STNL to BP,147
0,0,2,0,0,0,0,0.49230769230769234,0.109375,BP to STH,323
0,0,0,0,0,0,0,,,STNL to BP,3
0,0,0,0,0,0,0,0.36666666666666664,0.022727272727272728,STNL to BP,167
0,0,0,0,0,0,0,0.08641975308641975,0.0,STNL to BP,90
0,0,0,0,0,0,1,0.057971014492753624,0.0,STNL to BP,75
0,0,0,0,0,0,0,0.09090909090909091,0.0,STNL to BP,62
0,0,0,0,0,0,0,0.3,0.0,STNL to BP,52
0,0,0,0,0,0,0,0.4144144144144144,0.13043478260869565,STNL to BP,170
0,0,0,0,0,0,0,0.375,0.0,STNL to BP,12
0,0,0,0,0,0,0,,,STNL to BP,1
0,0,0,0,0,0,0,0.0,,STNL to BP,58
