primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,1,0,0,0,0,0.3541666666666667,0.08823529411764706,STNL to BP,136
0,0,0,0,0,0,0,0.05555555555555555,0.0,STNL to BP,40
0,0,0,0,0,0,0,0.0,,STNL to BP,4
1,0,0,0,0,0,0,0.09195402298850575,0.0,STNL to BP,99
0,0,1,0,0,0,0,1.037037037037037,0.017857142857142856,BP to STH,122
0,0,0,0,0,0,0,0.125,0.0,STNL to BP,19
0,0,0,0,0,0,0,0.38095238095238093,0.125,STNL to BP,61
0,0,0,0,0,0,0,0.0,,STNL to BP,46
0,0,0,0,0,0,0,0.35185185185185186,0.10526315789473684,STNL to BP,76
0,0,0,0,0,0,0,0.6195652173913043,0.0,STNL to BP,153
0,0,0,0,0,0,0,,,STNL to BP,8
0,0,0,0,0,0,0,0.15789473684210525,0.16666666666666666,STNL to BP,46
0,0,0,0,0,0,0,0.2,0.0,STNL to BP,26
0,0,0,0,0,0,0,0.5507246376811594,0.0,STNL to BP,215
0,0,0,0,0,0,0,0.1125,0.0,STNL to BP,90
0,0,0,0,0,0,0,1.8,0.0,STNL to BP,15
0,0,0,0,0,0,0,0.05,0.0,STNL to BP,42
0,0,0,0,0,0,0,0.0,,STNL to BP,72
0,0,0,0,0,0,0,0.0,,STNL to BP,89
0,0,0,0,0,0,1,0.1836734693877551,0.05555555555555555,STNL to BP,144
0,0,0,0,0,0,0,0.11363636363636363,0.0,STNL to BP,51
0,0,0,0,0,0,0,0.35051546391752575,0.29411764705882354,STNL to BP,147
0,0,0,0,0,0,1,0.03571428571428571,0.0,STNL to BP,193
0,0,0,0,0,0,0,0.6335877862595419,0.0,STNL to BP,217
0,0,0,0,0,0,0,0.2972972972972973,0.09090909090909091,STNL to BP,53
0,0,0,0,0,0,0,0.10204081632653061,0.0,STNL to BP,56
0,0,1,0,0,0,0,0.11864406779661017,0.2857142857142857,STNL to BP,71
0,0,0,0,0,0,0,0.1346153846153846,0.0,STNL to BP,62
0,0,0,0,2,0,0,0.3225806451612903,0.2,STNL to BP,143
0,0,0,0,0,0,0,0.11538461538461539,0.0,STNL to BP,59
0,0,0,0,0,0,0,0.1896551724137931,0.2727272727272727,STNL to BP,77
0,0,0,0,0,0,0,0.3870967741935484,0.0,STNL to BP,45
