primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,0,1,0,0,0.14102564102564102,0.09090909090909091,STNL to BP,94
0,0,0,0,3,0,0,0.09230769230769231,0.16666666666666666,STNL to BP,95
0,0,0,0,0,0,0,1.6666666666666667,0.0,STNL to BP,25
0,0,0,0,0,0,0,0.2109704641350211,0.04,STNL to BP,309
0,0,0,0,0,0,2,1.7530864197530864,0.007042253521126761,STNL to BP,228
0,0,2,0,1,0,0,0.20863309352517986,0.13793103448275862,STNL to BP,260
0,0,0,0,1,1,0,0.275,0.18181818181818182,BP to STH,284
0,0,0,0,0,0,0,0.6333333333333333,0.0,STNL to BP,100
0,0,2,0,1,0,0,0.25118483412322273,0.05660377358490566,STNL to BP,280
0,0,1,0,0,0,3,0.8930232558139535,0.052083333333333336,BP to STH,536
0,0,2,0,0,0,0,0.7547169811320755,0.125,STNL to BP,106
1,0,0,0,0,1,0,0.09090909090909091,0.07142857142857142,STNL to BP,194
0,0,0,0,0,0,3,0.36619718309859156,0.0,STNL to BP,295
0,0,0,0,0,0,0,0.10344827586206896,0.0,STNL to BP,298
0,0,1,0,0,0,2,0.010101010101010102,0.0,STNL to BP,105
0,0,0,0,0,5,0,0.6923076923076923,0.0,STNL to BP,88
0,0,0,0,0,0,0,0.3872549019607843,0.16455696202531644,BP to STH,331
0,0,0,0,0,0,1,0.13675213675213677,0.0,STNL to BP,139
0,0,0,0,0,0,2,0.08450704225352113,0.16666666666666666,STNL to BP,236
0,1,0,0,0,0,0,0.17391304347826086,0.35,STNL to BP,150
0,0,0,0,1,2,0,0.3303964757709251,0.06666666666666667,STNL to BP,336
0,0,0,0,0,0,2,0.15217391304347827,0.0,STNL to BP,165
1,0,1,0,0,0,0,0.15422885572139303,0.03225806451612903,BP to STH,241
0,0,0,0,0,0,0,0.11764705882352941,0.03333333333333333,STNL to BP,290
0,0,0,0,1,0,1,0.17796610169491525,0.23809523809523808,STNL to BP,294
0,0,0,0,0,0,0,0.25101214574898784,0.0967741935483871,STNL to BP,374
0,0,0,0,0,2,0,0.20707070707070707,0.04878048780487805,STNL to BP,395
0,0,0,0,0,0,3,0.011627906976744186,0.0,STNL to BP,91
0,0,0,0,2,0,0,0.16393442622950818,0.0,STNL to BP,80
0,0,0,2,0,0,0,0.5644171779141104,0.31521739130434784,STNL to BP,408
0,0,0,0,0,0,0,0.04081632653061224,0.0,STNL to BP,110
0,0,0,0,0,4,0,0.2517482517482518,0.08333333333333333,STNL to BP,245
0,0,0,0,2,0,0,0.8863636363636364,0.01282051282051282,BP to STH,170
0,0,0,0,0,0,2,0.0,,STNL to BP,42
0,0,0,0,0,0,0,0.11347517730496454,0.125,BP to STH,166
0,0,0,0,0,5,0,0.9047619047619048,0.0,BP to STH,95
0,0,0,0,0,0,0,0.024630541871921183,0.2,STNL to BP,211
1,0,5,0,0,0,0,0.9848484848484849,0.2153846153846154,BP to STH,696
0,0,0,0,0,4,0,1.1505376344086022,0.004672897196261682,STNL to BP,407
0,0,0,0,0,0,3,1.1808510638297873,0.009009009009009009,STNL to BP,209
0,0,0,0,1,0,0,0.6944444444444444,0.0,STNL to BP,63
0,0,0,0,0,0,0,0.9859154929577465,0.014285714285714285,STNL to BP,147
2,0,0,0,0,0,0,0.5714285714285714,0.0,STNL to BP,68
1,0,0,0,0,3,0,0.043478260869565216,0.0,STNL to BP,157
0,0,0,0,0,0,1,0.047619047619047616,1.0,STNL to BP,28
0,0,1,0,0,1,0,0.48507462686567165,0.27692307692307694,STNL to BP,293
0,0,0,0,1,0,0,0.421875,0.0,STNL to BP,97
0,0,1,0,1,0,0,0.0,,STNL to BP,260
0,0,0,0,1,0,2,0.017543859649122806,1.0,STNL to BP,63
0,0,0,0,0,0,6,0.5394736842105263,0.04065040650406504,STNL to BP,409
0,0,0,0,0,0,1,0.2131782945736434,0.03636363636363636,STNL to BP,579
0,0,0,0,0,0,0,0.5,0.13636363636363635,STNL to BP,169
0,0,0,0,0,0,0,0.07333333333333333,0.0,STNL to BP,195
0,0,0,0,0,0,1,0.11042944785276074,0.2222222222222222,STNL to BP,204
0,0,1,0,0,0,0,0.25,0.0,STNL to BP,52
0,0,0,0,2,0,0,0.22807017543859648,0.07692307692307693,STNL to BP,77
0,0,0,0,0,0,6,0.3722627737226277,0.13725490196078433,STNL to BP,413
0,1,0,0,0,0,0,0.30666666666666664,0.08695652173913043,STNL to BP,103
0,0,0,0,0,0,0,0.19117647058823528,0.11538461538461539,BP to STH,192
0,0,0,0,0,0,0,1.0327868852459017,0.06349206349206349,BP to STH,151
0,0,0,0,0,0,0,0.1694915254237288,0.25,BP to STH,153
0,1,0,0,0,0,0,0.39473684210526316,0.2222222222222222,STNL to BP,182
0,0,0,0,0,0,0,0.01694915254237288,0.0,STNL to BP,68
0,0,0,0,3,0,0,0.10465116279069768,0.1111111111111111,STNL to BP,104
0,0,0,0,0,0,0,0.16363636363636364,0.0,STNL to BP,68
0,0,0,0,0,0,0,0.43478260869565216,0.0,STNL to BP,140
0,0,0,0,0,7,0,0.3597122302158273,0.1,STNL to BP,477
0,0,0,0,0,0,1,0.08602150537634409,0.0,STNL to BP,111
0,0,0,0,0,0,1,1.6153846153846154,0.025974025974025976,STNL to BP,484
0,0,2,0,1,0,0,0.8130081300813008,0.09,BP to STH,319
0,0,0,0,1,0,0,0.40939597315436244,0.0,STNL to BP,214
0,0,0,0,0,0,2,0.5063291139240507,0.1,BP to STH,132
0,0,0,0,0,0,0,1.3,0.3076923076923077,STNL to BP,44
0,0,0,0,1,0,1,0.8543307086614174,0.03225806451612903,BP to STH,487
0,0,0,0,0,0,0,0.0,,STNL to BP,87
0,0,0,0,0,0,2,0.0948905109489051,0.07692307692307693,STNL to BP,471
0,0,0,0,0,0,0,0.02702702702702703,0.0,STNL to BP,80
0,0,0,0,0,0,0,0.18181818181818182,0.0,STNL to BP,121
0,0,1,0,2,0,0,1.5316455696202531,0.008264462809917356,STNL to BP,206
0,0,0,0,0,0,0,0.24342105263157895,0.0,STNL to BP,197
1,0,0,0,0,1,1,1.1547619047619047,0.06701030927835051,STNL to BP,644
0,0,0,0,2,0,0,0.1509433962264151,0.0,STNL to BP,87
0,0,0,0,0,0,0,1.2166666666666666,0.0410958904109589,STNL to BP,141
3,0,0,0,0,0,0,0.23076923076923078,0.037037037037037035,STNL to BP,228
0,0,0,0,1,0,3,0.2711864406779661,0.0,BP to STH,82
0,0,0,0,1,1,0,0.2777777777777778,0.2,STNL to BP,75
0,0,0,0,0,0,0,0.09,0.1111111111111111,STNL to BP,130
1,0,0,0,0,0,0,0.11616161616161616,0.0,STNL to BP,225
0,0,0,0,0,0,2,0.2465753424657534,0.0,STNL to BP,93
0,0,1,0,1,0,0,1.2883895131086143,0.07848837209302326,STNL to BP,692
0,0,1,0,1,0,1,0.08163265306122448,0.0,STNL to BP,56
0,0,3,0,1,0,3,1.2,0.025,STNL to BP,233
0,0,0,0,0,3,0,0.21739130434782608,0.5333333333333333,STNL to BP,120
0,0,0,0,0,5,0,1.2547945205479452,0.09388646288209607,STNL to BP,1008
0,0,0,0,0,0,2,0.043478260869565216,0.0,STNL to BP,122
0,0,0,0,0,0,1,1.2333333333333334,0.04054054054054054,STNL to BP,279
0,0,1,0,0,0,0,,,BP to STH,13
0,0,0,0,0,0,5,0.22935779816513763,0.0,STNL to BP,146
1,0,0,0,1,0,0,1.0714285714285714,0.18666666666666668,STNL to BP,168
0,0,0,0,2,0,0,0.5740740740740741,0.06451612903225806,STNL to BP,90
0,0,2,0,0,0,0,0.2916666666666667,0.047619047619047616,STNL to BP,192
0,0,1,0,0,0,0,0.4875,0.02564102564102564,STNL to BP,141
0,0,0,0,0,0,3,0.2803738317757009,0.016666666666666666,STNL to BP,319
0,0,0,0,0,5,0,3.2857142857142856,0.043478260869565216,STNL to BP,100
0,0,0,0,0,0,0,0.23853211009174313,0.038461538461538464,BP to STH,139
0,0,0,0,0,0,0,0.22699386503067484,0.05405405405405406,BP to STH,207
0,0,0,0,0,0,0,0.6057142857142858,0.018867924528301886,STNL to BP,393
0,0,0,0,0,10,0,0.16356877323420074,0.09090909090909091,STNL to BP,338
0,0,0,0,0,0,0,0.2894736842105263,0.0,BP to STH,214
0,0,1,0,0,1,0,0.20481927710843373,0.23529411764705882,BP to STH,401
0,0,0,0,0,6,0,0.4618320610687023,0.01652892561983471,STNL to BP,556
0,0,2,0,0,0,1,0.19718309859154928,0.10714285714285714,BP to STH,279
0,1,0,0,0,0,2,0.07432432432432433,0.0,STNL to BP,169
0,0,1,0,1,0,0,1.5,0.13131313131313133,STNL to BP,183
0,0,0,0,0,0,0,0.5862068965517241,0.029411764705882353,BP to STH,116
0,0,0,0,0,1,1,1.1150442477876106,0.05291005291005291,STNL to BP,918
0,0,0,0,0,0,0,6.719178082191781,0.0,STNL to BP,1142
0,0,1,0,0,2,0,0.2835249042145594,0.10810810810810811,STNL to BP,355
0,0,0,0,0,0,0,0.20238095238095238,0.0,STNL to BP,114
0,0,1,0,0,0,2,0.14485981308411214,0.06451612903225806,BP to STH,283
0,0,2,0,0,0,0,0.7027027027027027,0.08653846153846154,STNL to BP,402
0,0,0,0,1,0,0,0.03125,0.0,STNL to BP,83
0,0,0,0,0,0,0,0.0,,STNL to BP,90
