primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,0,0,0,0,0.234375,0.0,BP to STH,82
1,0,1,0,0,0,0,0.625,0.0,STNL to BP,75
1,1,0,0,0,0,0,0.5,1.0,STNL to BP,29
0,0,0,0,0,0,1,0.2727272727272727,0.1111111111111111,STNL to BP,45
0,0,0,0,1,0,0,0.037037037037037035,0.0,STNL to BP,31
0,0,0,0,0,0,0,0.0,,BP to STH,10
1,0,0,0,0,0,1,0.04054054054054054,0.0,BP to STH,79
0,0,0,0,0,0,0,0.22413793103448276,0.0,BP to STH,77
0,0,1,0,0,0,0,0.046153846153846156,0.0,STNL to BP,72
0,0,0,0,0,0,0,inf,0.25,STNL to BP,11
0,0,0,0,0,0,0,0.4482758620689655,0.0,STNL to BP,47
0,0,0,0,0,4,0,0.1968503937007874,0.16,STNL to BP,168
0,0,0,0,0,0,0,,,STNL to BP,7
0,0,0,0,2,0,0,0.7115384615384616,0.0,STNL to BP,103
0,0,0,0,0,2,0,0.25477707006369427,0.225,BP to STH,259
0,0,0,0,0,0,2,0.4426229508196721,0.07407407407407407,STNL to BP,147
0,0,0,0,0,0,2,0.7,0.0,STNL to BP,21
0,0,0,0,0,0,0,0.14814814814814814,0.25,STNL to BP,38
0,0,0,0,0,0,2,0.25757575757575757,0.0,STNL to BP,88
0,0,0,0,1,0,0,0.9032258064516129,0.14285714285714285,BP to STH,88
0,0,0,0,0,0,0,0.08,0.0,BP to STH,87
0,0,0,0,1,0,0,0.0,,STNL to BP,39
0,0,0,0,0,1,0,0.6458333333333334,0.06451612903225806,BP to STH,90
0,0,0,0,0,0,2,0.9435897435897436,0.03804347826086957,STNL to BP,474
0,0,0,0,1,0,0,0.43333333333333335,0.0,STNL to BP,47
0,0,0,0,0,0,0,0.22857142857142856,0.0,STNL to BP,45
0,0,0,0,2,0,2,0.7272727272727273,0.0625,STNL to BP,46
0,0,0,0,2,0,1,0.3448275862068966,0.1,STNL to BP,49
0,0,0,0,1,0,1,1.0703125,0.10948905109489052,BP to STH,308
0,0,0,0,0,3,0,0.45263157894736844,0.1511627906976744,STNL to BP,329
0,0,0,0,0,0,2,0.6666666666666666,0.25,STNL to BP,34
1,0,0,0,0,0,0,0.125,0.5,STNL to BP,42
0,0,0,0,0,0,1,0.32142857142857145,0.0,BP to STH,117
0,0,0,0,1,0,0,0.32653061224489793,0.125,STNL to BP,74
0,0,0,0,0,0,3,0.4166666666666667,0.24,BP to STH,217
0,0,0,0,0,0,0,0.15151515151515152,0.0,STNL to BP,46
0,0,1,0,0,0,3,0.2222222222222222,0.0,BP to STH,145
0,0,0,0,0,0,2,0.0,,STNL to BP,55
0,0,0,0,0,0,0,0.21052631578947367,0.08333333333333333,STNL to BP,151
0,0,1,0,1,0,0,0.664179104477612,0.0449438202247191,BP to STH,274
0,0,0,0,0,0,0,0.3793103448275862,0.09090909090909091,STNL to BP,44
0,0,0,0,2,0,0,0.058823529411764705,0.0,STNL to BP,43
0,0,1,0,1,0,0,0.6176470588235294,0.09523809523809523,STNL to BP,61
0,0,0,0,0,0,1,0.12222222222222222,0.0,STNL to BP,116
0,0,1,0,1,0,0,0.43859649122807015,0.12,STNL to BP,91
0,0,0,0,0,0,1,0.92,0.028985507246376812,STNL to BP,312
0,0,0,0,0,0,0,0.10752688172043011,0.2,STNL to BP,140
0,0,0,0,0,1,0,1.3873239436619718,0.025380710659898477,STNL to BP,409
0,0,0,0,0,4,1,0.0,,STNL to BP,40
0,0,1,0,0,0,0,0.3917525773195876,0.07894736842105263,BP to STH,145
0,0,0,0,1,0,0,0.0,,STNL to BP,81
0,0,0,0,0,0,0,0.11594202898550725,0.0,STNL to BP,157
0,0,0,0,0,0,0,0.3172043010752688,0.05084745762711865,STNL to BP,310
0,0,0,0,0,3,0,0.5230769230769231,0.08823529411764706,STNL to BP,163
0,0,0,0,0,0,2,0.023809523809523808,0.0,STNL to BP,45
