CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-8205598831632061841,239,0,9,0,21,0,173,0,0,1,0,0,2,1,0,219,0,0,1,0,0,2,0,0,15,1,0,0,445,28,0.12138728323699421,0.42857142857142855,29
-8137007490398234626,315,4,24,2,97,2,150,0,0,2,0,0,13,2,0,278,0,0,0,0,1,2,0,0,0,1,0,1,599,29,0.6466666666666666,0.24742268041237114,-158
-8107343631148959525,277,0,23,0,315,0,137,0,0,1,0,0,4,2,0,246,0,0,0,0,0,2,0,0,14,0,0,0,755,30,2.2992700729927007,0.07301587301587302,-11
-8049229478301472368,340,0,0,5,110,7,13,0,0,3,0,0,11,1,0,315,0,0,0,0,0,1,0,2,6,0,0,0,478,31,8.461538461538462,0.0,6
-8037488590670368599,43,0,0,2,0,1,45,0,0,1,0,0,2,1,0,29,0,0,0,0,0,1,0,0,7,0,0,0,93,32,0.0,,17
-7996578165159496962,55,0,1,0,14,0,45,0,0,1,0,0,4,1,0,35,0,0,0,0,0,1,0,0,6,0,0,0,117,34,0.3111111111111111,0.07142857142857142,7
-7980281280322329922,518,1,22,0,208,1,271,0,0,1,0,1,19,1,0,481,0,0,1,0,0,2,0,0,1,0,0,0,1023,35,0.7675276752767528,0.10576923076923077,34
-7831089669626833044,299,3,19,3,97,3,149,0,0,4,0,4,17,2,0,249,0,0,0,1,0,2,0,1,0,1,1,0,578,37,0.6510067114093959,0.1958762886597938,28
-7767978990747320864,478,0,5,0,5,0,141,0,0,1,0,0,28,1,0,444,0,0,0,0,1,2,0,0,1,1,0,0,632,38,0.03546099290780142,1.0,51
-7727440583793414975,22,0,15,18,183,25,118,0,0,2,0,1,12,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,382,39,1.5508474576271187,0.08196721311475409,20
-7711708169338796633,248,0,17,2,120,4,145,0,0,2,0,0,4,3,0,224,0,0,0,0,0,2,0,0,3,0,0,0,540,40,0.8275862068965517,0.14166666666666666,-95
-7708667885611474725,49,0,5,0,26,0,65,0,0,2,0,0,7,1,0,22,0,0,0,0,1,1,0,0,16,0,0,0,147,41,0.4,0.19230769230769232,-1
-7706993705029856901,28,0,8,0,5,0,59,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,3,11,0,0,0,101,42,0.0847457627118644,1.6,-2
-7696380263556700079,61,8,54,3,32,5,170,0,0,2,0,1,6,0,7,14,0,0,0,2,1,2,0,0,0,0,0,0,333,43,0.18823529411764706,1.6875,16
