CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
2517967177670941566,291205,1075,33,0,1,0,20,0,89,0,0,1,2,1,0,18,0,1,0,0,2,0,0,0,0,144,BP to STH,94,0.2247191011235955,0.05,266
2518091418816306115,1150112,4533,176,0,7,0,189,0,196,0,0,16,25,1,1,113,0,0,0,0,5,0,0,0,0,569,STNL to BP,95,0.9642857142857143,0.037037037037037035,98
2524057064967838273,838314,3016,6,0,3,1,244,0,161,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,415,STNL to BP,96,1.515527950310559,0.012295081967213115,726
2708330760142006990,18180,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,BP to STH,97,,,1095
3079049637591801351,343652,1212,21,0,2,1,77,1,68,0,0,0,3,0,0,16,0,0,0,0,2,0,0,0,0,170,STNL to BP,98,1.1323529411764706,0.025974025974025976,1097
3446703513997072692,129504,401,3,0,2,0,6,0,53,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,64,STNL to BP,99,0.11320754716981132,0.3333333333333333,184
3655562566305085491,929806,3207,84,0,12,0,215,0,148,0,0,0,1,0,0,75,0,0,0,0,3,0,0,0,1,460,STNL to BP,100,1.4527027027027026,0.05581395348837209,1089
4343697143223945032,213893,825,7,0,0,0,16,0,83,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,106,STNL to BP,102,0.1927710843373494,0.0,352
4766756853486505833,414127,1622,12,0,10,0,85,0,98,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,205,BP to STH,104,0.8673469387755102,0.11764705882352941,728
5045155198921942124,92836,364,4,0,0,0,22,0,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,46,STNL to BP,109,1.1,0.0,67
5531697883654652476,432116,1730,11,0,1,0,94,0,107,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,214,STNL to BP,112,0.8785046728971962,0.010638297872340425,724
5652494201625165010,295342,1066,55,0,7,0,42,0,42,0,0,0,1,0,2,47,0,0,0,0,2,0,0,0,0,146,STNL to BP,114,1.0,0.16666666666666666,243
5771227246074698671,143410,518,3,0,0,0,12,0,55,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,71,STNL to BP,115,0.21818181818181817,0.0,1540
5824660637978870422,105164,354,2,0,8,0,6,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,BP to STH,116,0.16666666666666666,1.3333333333333333,123
5931685433673598680,176013,694,48,0,1,0,12,0,26,0,0,0,1,0,0,42,0,0,0,0,2,0,0,0,0,87,BP to STH,117,0.46153846153846156,0.08333333333333333,0
5995385775827806306,1363659,5721,6,0,16,0,534,0,119,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,675,STNL to BP,118,4.487394957983193,0.0299625468164794,547
6035482707323323387,129358,497,9,0,1,0,17,0,37,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,64,STNL to BP,119,0.4594594594594595,0.058823529411764705,24
6153090004140980367,214030,773,2,0,2,0,33,0,69,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,106,STNL to BP,120,0.4782608695652174,0.06060606060606061,1080
