CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase_x,AVG_TIME_DAYS_purchase_y
2668982415107386562,1521219,5654,411,0,28,0,270,0,40,0,0,2,0,4,22,2,0,371,0,0,0,0,1,3,0,0,0,0,0,752,186,6.75,0.1037037037037037,98,98
2669978385261426647,3360809,13020,693,0,136,3,455,3,369,0,0,4,0,0,18,3,0,653,0,0,0,0,1,4,0,4,0,0,0,1662,187,1.2330623306233062,0.2989010989010989,121,121
2700242717819555675,2012617,8065,403,0,30,2,24,1,532,0,0,5,0,0,13,2,0,359,0,0,1,0,0,3,1,0,0,0,0,995,188,0.045112781954887216,1.25,171,171
2758946978821471396,1769002,7174,132,0,41,0,228,0,473,0,0,1,0,0,3,1,0,110,0,0,0,0,0,3,0,13,0,0,0,875,189,0.4820295983086681,0.17982456140350878,39,39
2926551397688258719,3883743,15023,358,0,16,0,827,0,719,0,0,0,0,36,15,2,0,254,0,0,0,0,1,6,1,33,0,0,0,1922,190,1.1502086230876216,0.019347037484885126,28,28
2958436304188144599,5704536,21478,1101,0,56,4,285,7,1365,0,1,2,0,0,20,3,0,1033,0,0,1,0,0,6,2,7,0,0,0,2822,191,0.2087912087912088,0.19649122807017544,150,150
2981557334746418809,2768234,11135,760,2,17,0,162,0,421,0,0,0,1,0,21,3,1,709,0,0,0,0,1,6,0,13,0,3,1,1369,192,0.3847980997624703,0.10493827160493827,106,106
3044022601424471962,533889,1983,36,0,4,0,10,0,211,0,0,4,0,0,7,1,0,18,0,0,0,0,0,2,0,0,0,0,0,264,193,0.04739336492890995,0.4,326,326
3137729073597852352,2262059,8328,21,0,5,2,318,6,766,0,0,2,0,0,1,0,2,0,0,0,0,0,1,5,0,12,0,0,0,1120,194,0.4151436031331593,0.015723270440251572,118,118
3173212753710665667,5137456,16693,80,0,490,0,1506,0,463,0,0,17,0,3,4,0,0,30,0,0,1,0,4,1,0,0,0,0,0,2539,195,3.2526997840172784,0.3253652058432935,25,25
3305042148244929106,1665145,6617,554,0,12,20,163,12,59,0,0,2,0,1,2,2,0,523,0,0,0,0,2,9,0,2,0,0,0,823,196,2.76271186440678,0.0736196319018405,14,14
3378921940945924850,2678320,9253,211,0,62,0,490,0,560,0,0,3,0,1,7,1,0,158,0,0,0,0,1,3,1,4,0,0,0,1324,197,0.875,0.12653061224489795,67,67
3488731997904444572,1709248,6025,163,1,26,4,366,2,281,0,0,6,0,2,23,1,0,125,0,0,0,1,1,3,0,0,0,0,0,845,198,1.302491103202847,0.07103825136612021,113,113
3508998583459193504,133477,439,20,0,3,0,15,0,27,0,0,2,0,1,2,0,0,0,0,0,0,0,0,2,0,5,0,0,0,66,199,0.5555555555555556,0.2,46,46
3639029004414783314,677641,2203,39,0,23,8,64,7,193,0,0,1,0,0,9,0,0,0,0,0,0,0,1,4,0,22,0,0,0,335,200,0.3316062176165803,0.359375,26,26
3794782464786764533,4072368,15869,777,0,62,0,380,1,791,0,0,4,0,1,12,3,6,718,0,0,0,0,1,4,0,1,0,0,0,2014,201,0.4804045512010114,0.1631578947368421,91,91
3840937346996660343,2959443,11761,1265,0,0,21,0,14,160,0,0,5,0,2,5,2,1,1208,0,0,1,0,0,3,0,6,0,0,0,1463,202,0.0,,52,52
3887718992307992343,2255366,8162,523,0,49,18,154,17,348,0,0,5,0,0,15,3,0,441,0,2,1,0,10,3,0,1,0,0,0,1115,203,0.4425287356321839,0.3181818181818182,50,50
3930036293165758695,1066238,4299,413,0,11,4,5,4,88,0,0,4,0,1,19,1,2,377,0,0,1,0,0,2,2,0,0,0,0,527,204,0.056818181818181816,2.2,45,45
4097590826007086426,1062040,3676,154,0,14,3,83,5,263,0,0,2,0,0,19,2,0,118,0,0,0,0,1,3,0,5,0,0,0,525,205,0.3155893536121673,0.1686746987951807,75,75
4191995418897651276,236728,811,27,0,14,0,55,1,18,0,0,1,0,0,2,1,0,18,0,0,0,0,1,2,0,0,0,0,0,117,206,3.0555555555555554,0.2545454545454545,163,163
4311958128327884935,544033,1818,50,0,15,5,24,3,171,0,0,2,0,0,2,1,0,30,0,0,0,0,0,2,0,0,0,0,0,269,207,0.14035087719298245,0.625,241,241
4350453243256478800,2694048,11175,977,0,30,0,78,0,245,0,0,1,0,1,10,2,0,903,0,0,0,0,2,4,0,3,0,0,0,1332,208,0.3183673469387755,0.38461538461538464,98,98
4371873130158070778,1745604,6325,420,0,46,4,136,1,253,0,0,4,0,0,2,2,0,377,0,0,0,0,1,3,3,24,0,0,0,863,209,0.5375494071146245,0.3382352941176471,23,23
4451714721562598832,1207644,4032,59,0,20,0,325,0,192,0,0,1,0,0,9,1,0,33,0,0,1,0,0,3,0,11,0,0,0,597,210,1.6927083333333333,0.06153846153846154,50,50
4454410520152258134,1498926,5254,83,0,16,6,210,5,415,0,0,3,0,0,13,1,0,48,0,0,1,0,0,3,0,0,0,3,1,741,211,0.5060240963855421,0.0761904761904762,228,228
4542505048671315835,1102404,4119,186,0,21,2,76,2,255,0,0,1,0,0,19,2,0,149,0,0,1,0,0,3,0,0,0,0,0,545,212,0.2980392156862745,0.27631578947368424,225,225
4668539610309202305,2676123,9813,767,0,33,0,207,0,313,0,0,1,0,18,25,2,3,683,0,0,1,0,0,3,0,22,0,0,0,1323,213,0.6613418530351438,0.15942028985507245,13,13
4881408393111620806,4062324,16035,114,0,46,0,924,0,923,0,0,4,0,3,13,3,0,28,0,0,0,0,1,7,2,23,0,0,0,2011,214,1.0010834236186348,0.049783549783549784,61,61
4931247146655384114,1919606,7312,556,0,21,0,12,0,359,0,0,2,0,0,6,1,0,487,0,0,0,0,1,3,0,0,0,0,0,949,215,0.033426183844011144,1.75,203,203
4977855209326071428,1255720,4705,24,0,8,0,323,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,622,216,1.2097378277153559,0.02476780185758514,360,360
5049484654455129541,1401189,5355,76,0,43,1,140,1,430,0,0,1,0,0,6,2,0,0,0,0,0,0,1,6,0,0,0,0,0,693,217,0.32558139534883723,0.30714285714285716,361,361
5186904212668852591,926365,3714,220,0,8,0,7,0,220,0,0,1,0,0,10,2,0,188,0,0,0,0,1,3,0,1,0,0,0,458,218,0.031818181818181815,1.1428571428571428,150,150
5331814947166231715,487120,1659,31,0,7,2,39,1,160,0,0,0,0,0,10,1,0,10,0,0,0,0,1,2,0,4,0,0,0,241,219,0.24375,0.1794871794871795,362,362
5503539187920262883,1138812,4363,348,0,6,0,4,0,203,0,0,1,0,0,4,1,0,321,0,0,0,0,1,3,0,11,0,0,0,563,221,0.019704433497536946,1.5,48,48
5885590995466423568,1112469,4109,232,0,19,0,159,0,138,0,0,7,0,1,22,2,0,198,0,0,1,0,0,3,0,0,0,0,0,550,222,1.1521739130434783,0.11949685534591195,147,147
5914756574558670331,986880,3659,268,0,15,7,40,6,151,0,0,1,0,0,5,0,0,247,0,0,0,0,0,2,0,7,0,0,0,488,223,0.26490066225165565,0.375,40,40
5949720766211352689,1446262,5625,343,0,19,1,14,1,329,0,0,2,0,0,9,1,0,286,0,0,0,0,1,3,0,0,0,4,2,715,224,0.0425531914893617,1.3571428571428572,197,197
6066567721786883548,1541374,5903,426,0,34,3,54,1,240,0,0,2,0,0,14,2,0,384,0,0,1,0,0,3,0,8,0,0,0,762,225,0.225,0.6296296296296297,62,62
6307827300292667837,3123505,12263,91,0,22,2,450,1,980,0,0,0,0,0,0,0,0,48,0,0,0,0,1,6,0,36,0,0,0,1546,226,0.45918367346938777,0.04888888888888889,51,51
6337356985079202368,2348437,9120,616,0,61,1,70,1,410,0,0,6,0,0,4,1,1,555,0,0,0,0,1,3,0,8,0,0,0,1161,227,0.17073170731707318,0.8714285714285714,56,56
6436839632008427112,445115,1758,114,0,12,2,9,3,77,0,0,1,0,0,3,1,1,75,0,1,1,0,0,2,0,0,0,0,0,220,228,0.11688311688311688,1.3333333333333333,107,107
6531559305021205609,1640456,6082,569,0,14,0,6,0,220,0,0,1,0,0,10,1,0,506,0,0,1,0,0,3,0,2,0,0,0,811,229,0.02727272727272727,2.3333333333333335,131,131
6544289755212062251,2000574,7185,229,0,21,1,503,1,232,0,0,2,0,1,11,1,1,167,0,0,0,0,1,3,0,0,0,0,0,989,230,2.168103448275862,0.041749502982107355,137,137
6780464831254793614,1629519,6674,226,0,39,0,173,0,366,0,0,1,0,0,6,2,0,206,0,0,0,0,0,3,0,5,0,0,0,806,231,0.4726775956284153,0.2254335260115607,86,86
6806488142041059050,1330209,5154,309,0,13,0,123,0,212,0,0,2,0,0,11,1,0,278,0,0,0,0,0,3,1,12,0,0,0,658,232,0.5801886792452831,0.10569105691056911,120,120
6823513624320451831,2619765,9784,660,0,19,10,175,6,423,0,0,2,0,0,9,0,0,630,0,0,0,0,1,3,0,7,0,2,1,1296,233,0.41371158392434987,0.10857142857142857,212,212
6887728070016334226,2665349,10053,157,0,18,1,316,1,824,0,0,0,0,0,22,2,0,112,0,0,1,0,0,6,0,10,0,0,0,1319,234,0.38349514563106796,0.056962025316455694,137,137
6897618714366366328,3951376,15051,666,2,136,0,520,2,625,0,0,42,0,9,2,1,1,574,0,0,0,0,1,4,0,4,0,1,1,1954,235,0.832,0.26153846153846155,54,54
7062347970742027167,1527186,5705,224,0,17,2,245,1,264,0,0,2,0,0,32,1,0,164,0,0,1,0,0,3,0,5,0,0,0,755,236,0.928030303030303,0.06938775510204082,75,75
