primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,3,0,3,0,4.714285714285714,0.30303030303030304,BP to STH,147
0,0,0,2,0,0,0,0.3684210526315789,0.09523809523809523,STNL to BP,90
0,0,0,2,0,0,0,1.0485436893203883,0.037037037037037035,STNL to BP,226
0,0,0,1,0,0,0,2.303030303030303,0.0,STNL to BP,115
0,0,0,2,0,1,0,0.08928571428571429,0.0,BP to STH,64
0,0,0,1,0,0,0,,,STNL to BP,7
0,0,0,1,0,0,0,0.4838709677419355,0.0,STNL to BP,51
0,0,0,1,0,0,0,0.5,0.0,STNL to BP,28
0,0,0,1,0,0,0,2.5,0.0,STNL to BP,64
0,0,0,4,0,1,0,0.21951219512195122,0.3333333333333333,STNL to BP,202
0,0,0,1,0,0,0,0.8421052631578947,0.0,STNL to BP,71
0,0,0,1,0,1,0,0.2,0.0,STNL to BP,39
0,0,0,1,0,2,0,0.11538461538461539,0.3333333333333333,BP to STH,90
0,0,0,2,0,0,0,0.7160493827160493,0.1206896551724138,STNL to BP,170
0,1,0,4,0,2,0,0.32413793103448274,0.06382978723404255,STNL to BP,233
0,0,0,1,0,1,0,0.2962962962962963,0.375,STNL to BP,133
0,0,0,2,0,0,0,0.9146341463414634,0.0,BP to STH,169
0,0,0,1,0,0,0,0.14814814814814814,0.0,STNL to BP,34
0,0,0,3,0,0,0,1.4666666666666666,0.07142857142857142,STNL to BP,273
0,0,0,2,1,5,0,2.264705882352941,0.2077922077922078,STNL to BP,265
0,0,0,1,0,0,0,0.42857142857142855,0.0,STNL to BP,26
0,0,0,1,0,2,0,0.44,0.0,STNL to BP,39
0,0,0,1,0,0,0,0.6111111111111112,0.0,STNL to BP,38
0,0,0,1,0,0,0,1.125,0.0,BP to STH,18
0,0,0,2,0,0,0,0.44642857142857145,0.0,STNL to BP,86
0,0,0,1,0,1,0,0.13043478260869565,0.0,STNL to BP,28
0,0,0,1,0,0,0,0.45454545454545453,0.0,STNL to BP,85
0,0,0,2,0,3,0,0.4666666666666667,0.0,STNL to BP,39
0,0,0,1,0,0,0,0.6428571428571429,0.0,BP to STH,47
0,0,0,1,0,0,0,2.0,0.0,STNL to BP,79
0,0,0,1,0,0,0,0.2972972972972973,0.2727272727272727,BP to STH,52
0,0,0,1,0,0,2,0.475,0.0,STNL to BP,140
0,0,0,1,0,1,0,0.24193548387096775,0.2,STNL to BP,82
1,0,0,2,0,3,0,2.5625,0.1951219512195122,BP to STH,97
0,0,0,1,0,3,0,0.3684210526315789,0.0,STNL to BP,30
0,0,0,2,0,0,0,2.625,0.38095238095238093,BP to STH,153
0,0,0,1,0,1,0,0.10416666666666667,0.2,STNL to BP,56
0,0,0,2,0,0,0,0.2647058823529412,2.7222222222222223,STNL to BP,143
0,0,0,2,0,0,0,0.23140495867768596,0.42857142857142855,STNL to BP,208
0,0,0,2,0,0,0,0.8282828282828283,0.21951219512195122,STNL to BP,207
0,0,0,2,0,0,0,0.140625,0.0,STNL to BP,79
0,0,0,2,0,0,0,0.44047619047619047,0.7567567567567568,STNL to BP,163
0,0,0,2,0,0,0,0.43529411764705883,0.05405405405405406,STNL to BP,133
0,0,0,2,0,0,0,0.25,0.06666666666666667,BP to STH,109
0,0,1,1,0,0,0,1.0,0.0,STNL to BP,14
0,0,0,2,0,0,0,0.11842105263157894,0.1111111111111111,STNL to BP,92
0,0,0,3,0,0,0,0.9743589743589743,0.1118421052631579,STNL to BP,361
0,0,0,1,0,0,0,0.1,0.0,STNL to BP,12
0,0,0,3,0,0,0,0.14,0.0,STNL to BP,66
0,0,0,1,0,0,0,1.2173913043478262,0.0,STNL to BP,52
0,0,0,7,0,0,0,0.38,0.0,BP to STH,129
0,0,0,2,1,2,0,0.4396551724137931,0.09803921568627451,STNL to BP,200
0,0,0,1,0,1,0,0.0,,STNL to BP,92
5,0,0,3,0,1,0,0.8205128205128205,0.0,STNL to BP,84
0,0,0,1,0,0,0,1.0357142857142858,0.0,STNL to BP,64
1,0,0,2,0,1,0,0.7169811320754716,0.13157894736842105,BP to STH,226
0,0,0,1,0,2,0,0.0,inf,STNL to BP,94
0,0,0,2,0,1,0,0.23469387755102042,0.34782608695652173,STNL to BP,141
0,0,0,2,0,6,0,0.04672897196261682,0.8,STNL to BP,224
0,0,0,2,0,0,0,1.0714285714285714,0.03333333333333333,STNL to BP,63
0,0,0,1,0,1,0,1.0571428571428572,0.2702702702702703,STNL to BP,156
0,0,0,2,0,0,0,0.13592233009708737,0.14285714285714285,STNL to BP,158
0,0,0,4,0,1,0,0.9473684210526315,0.07407407407407407,STNL to BP,498
0,0,0,3,0,0,0,0.46357615894039733,0.02857142857142857,STNL to BP,266
0,0,0,2,0,1,0,0.32142857142857145,0.0,STNL to BP,99
0,0,0,1,0,2,0,0.0392156862745098,0.5,BP to STH,57
0,0,0,2,0,0,0,2.0,0.0,STNL to BP,11
0,0,0,1,0,2,0,0.9253731343283582,0.08064516129032258,STNL to BP,142
0,0,0,1,0,1,0,0.09375,1.0,STNL to BP,82
0,0,0,1,0,0,0,0.06976744186046512,1.0,BP to STH,53
0,0,0,2,0,0,0,0.08641975308641975,0.0,STNL to BP,94
0,0,0,2,0,0,0,0.20454545454545456,1.6666666666666667,STNL to BP,70
0,0,0,3,0,0,0,0.19047619047619047,2.0,STNL to BP,63
0,0,0,2,0,1,0,1.3934426229508197,0.09411764705882353,STNL to BP,203
0,0,0,4,0,0,0,0.17582417582417584,0.3125,STNL to BP,298
1,0,0,1,2,1,0,2.25,0.13131313131313133,BP to STH,165
0,0,0,3,0,1,0,4.333333333333333,0.07692307692307693,STNL to BP,26
0,0,0,2,0,1,0,0.10810810810810811,0.75,STNL to BP,76
0,0,0,1,0,1,0,0.03571428571428571,0.0,BP to STH,69
0,0,0,3,0,0,0,,,STNL to BP,43
0,0,0,1,0,0,0,1.45,0.15517241379310345,STNL to BP,110
0,0,0,2,0,0,0,0.06976744186046512,0.6666666666666666,BP to STH,108
0,0,0,2,0,0,0,0.575,0.13043478260869565,STNL to BP,76
