primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,1,1,11,0,1.0384615384615385,0.16666666666666666,137
1,0,1,4,1,5,0,0.08921933085501858,0.7083333333333334,478
0,0,1,3,0,0,0,1.2701421800947867,0.03731343283582089,711
0,1,1,5,1,0,0,0.5425170068027211,0.18495297805642633,1422
0,0,0,2,0,0,0,1.9076923076923078,0.010752688172043012,574
2,0,1,1,0,0,0,0.08247422680412371,1.625,339
0,0,1,3,0,20,0,3.085714285714286,0.12037037037037036,190
1,0,0,3,0,7,0,0.3215686274509804,0.6707317073170732,1495
1,0,0,2,0,3,3,0.2100456621004566,0.391304347826087,717
1,0,1,3,0,10,0,0.36824324324324326,0.11009174311926606,492
0,0,0,1,0,5,0,2.3189655172413794,0.03345724907063197,480
0,0,1,4,4,9,1,0.49557522123893805,0.16071428571428573,883
0,0,0,4,0,2,0,0.6076335877862595,0.020100502512562814,1338
1,0,0,7,0,22,0,0.6540948275862069,0.039538714991762765,2179
0,0,0,3,0,0,0,0.14049586776859505,0.058823529411764705,155
1,0,0,3,0,25,0,1.276639344262295,0.07704654895666131,1251
0,0,1,3,0,11,0,0.1414141414141414,0.35714285714285715,517
1,0,1,10,0,1,10,2.6122448979591835,0.30078125,1124
0,0,0,2,0,0,1,0.5613382899628253,0.0,442
0,0,2,3,0,0,4,0.4377104377104377,0.36153846153846153,1336
1,0,1,3,0,4,0,0.003703703703703704,1.0,304
1,0,1,3,0,4,0,0.6283185840707964,0.15492957746478872,1107
0,0,1,3,0,0,1,0.1958041958041958,0.5,667
0,0,1,3,0,10,0,0.3562231759656652,0.07228915662650602,657
1,0,0,3,0,0,2,0.010309278350515464,1.0,591
0,0,1,3,0,0,0,6.75,0.1037037037037037,752
0,0,1,4,0,4,0,1.2330623306233062,0.2989010989010989,1662
1,0,0,3,1,0,0,0.045112781954887216,1.25,995
0,0,0,3,0,13,0,0.4820295983086681,0.17982456140350878,875
0,0,1,6,1,33,0,1.1502086230876216,0.019347037484885126,1922
1,0,0,6,2,7,0,0.2087912087912088,0.19649122807017544,2822
0,0,1,6,0,13,1,0.3847980997624703,0.10493827160493827,1369
0,0,0,2,0,0,0,0.04739336492890995,0.4,264
0,0,1,5,0,12,2,0.4151436031331593,0.015723270440251572,1120
1,0,4,1,0,0,0,3.2526997840172784,0.3253652058432935,2539
0,0,2,9,0,2,0,2.76271186440678,0.0736196319018405,823
0,0,1,3,1,4,0,0.875,0.12653061224489795,1324
0,1,1,3,0,0,0,1.302491103202847,0.07103825136612021,845
0,0,0,2,0,5,0,0.5555555555555556,0.2,66
0,0,1,4,0,22,0,0.3316062176165803,0.359375,335
0,0,1,4,0,1,6,0.4804045512010114,0.1631578947368421,2014
1,0,0,3,0,6,1,0.0,,1463
1,0,10,3,0,1,0,0.4425287356321839,0.3181818181818182,1115
1,0,0,2,2,0,2,0.056818181818181816,2.2,527
0,0,1,3,0,5,0,0.3155893536121673,0.1686746987951807,525
0,0,1,2,0,0,0,3.0555555555555554,0.2545454545454545,117
0,0,0,2,0,0,0,0.14035087719298245,0.625,269
0,0,2,4,0,3,0,0.3183673469387755,0.38461538461538464,1332
0,0,1,3,3,24,0,0.5375494071146245,0.3382352941176471,863
1,0,0,3,0,11,0,1.6927083333333333,0.06153846153846154,597
1,0,0,3,0,0,0,0.5060240963855421,0.0761904761904762,741
1,0,0,3,0,0,0,0.2980392156862745,0.27631578947368424,545
1,0,0,3,0,22,3,0.6613418530351438,0.15942028985507245,1323
0,0,1,7,2,23,0,1.0010834236186348,0.049783549783549784,2011
0,0,1,3,0,0,0,0.033426183844011144,1.75,949
0,0,0,3,1,0,0,1.2097378277153559,0.02476780185758514,622
0,0,1,6,0,0,0,0.32558139534883723,0.30714285714285716,693
0,0,1,3,0,1,0,0.031818181818181815,1.1428571428571428,458
0,0,1,2,0,4,0,0.24375,0.1794871794871795,241
0,0,1,3,0,11,0,0.019704433497536946,1.5,563
1,0,0,3,0,0,0,1.1521739130434783,0.11949685534591195,550
0,0,0,2,0,7,0,0.26490066225165565,0.375,488
0,0,1,3,0,0,0,0.0425531914893617,1.3571428571428572,715
1,0,0,3,0,8,0,0.225,0.6296296296296297,762
0,0,1,6,0,36,0,0.45918367346938777,0.04888888888888889,1546
0,0,1,3,0,8,1,0.17073170731707318,0.8714285714285714,1161
1,0,0,2,0,0,1,0.11688311688311688,1.3333333333333333,220
1,0,0,3,0,2,0,0.02727272727272727,2.3333333333333335,811
0,0,1,3,0,0,1,2.168103448275862,0.041749502982107355,989
0,0,0,3,0,5,0,0.4726775956284153,0.2254335260115607,806
0,0,0,3,1,12,0,0.5801886792452831,0.10569105691056911,658
0,0,1,3,0,7,0,0.41371158392434987,0.10857142857142857,1296
1,0,0,6,0,10,0,0.38349514563106796,0.056962025316455694,1319
0,0,1,4,0,4,1,0.832,0.26153846153846155,1954
1,0,0,3,0,5,0,0.928030303030303,0.06938775510204082,755
0,0,1,4,0,14,1,0.23515439429928742,0.1414141414141414,876
1,0,0,3,0,0,1,0.0664451827242525,0.9,572
0,0,1,4,0,0,0,0.8621621621621621,0.08463949843260188,949
0,0,1,3,0,4,0,0.23829787234042554,0.6071428571428571,468
0,0,0,3,0,9,0,0.6356589147286822,0.03048780487804878,441
0,0,1,3,0,16,0,1.0833333333333333,0.17307692307692307,196
1,0,0,3,0,2,0,0.9793103448275862,0.1619718309859155,913
0,0,0,4,0,3,0,0.14925373134328357,0.03333333333333333,716
0,0,0,3,2,0,2,1.4656084656084656,0.026474127557160047,1470
0,0,2,3,0,4,0,1.4609053497942386,0.16056338028169015,697
0,0,1,2,0,0,1,1.0396825396825398,0.1183206106870229,568
0,0,0,3,0,0,0,0.5089820359281437,0.20588235294117646,562
0,0,0,2,0,0,0,1.2847222222222223,0.0,684
1,0,0,3,0,0,0,0.6853448275862069,0.24528301886792453,597
1,0,0,1,0,2,0,0.8947368421052632,0.38235294117647056,184
0,0,1,3,0,13,0,0.8807692307692307,0.10043668122270742,1334
1,0,1,3,0,9,0,2.0866666666666664,0.051118210862619806,1188
0,0,0,1,0,5,0,0.08609271523178808,2.230769230769231,223
0,0,0,3,0,0,0,0.5161290322580645,0.052083333333333336,597
0,0,0,2,1,3,0,1.178743961352657,0.0778688524590164,505
0,0,1,2,0,7,0,0.10377358490566038,1.7272727272727273,515
1,0,0,1,0,2,0,0.20689655172413793,0.4583333333333333,458
0,0,1,3,0,1,1,0.5458333333333333,0.20610687022900764,723
1,0,0,3,0,0,2,0.35106382978723405,0.25252525252525254,669
0,0,1,2,0,0,0,0.033112582781456956,0.6,314
1,0,0,6,1,21,0,1.0943627450980393,0.054871220604703244,2056
0,0,0,1,0,0,1,2.127388535031847,0.08982035928143713,524
0,0,0,2,0,9,0,0.08374384236453201,0.7058823529411765,250
0,0,0,3,0,3,0,0.5014836795252225,0.10650887573964497,546
0,0,1,3,0,0,1,0.7112970711297071,0.041176470588235294,878
2,0,2,3,0,6,0,0.5882352941176471,0.3387096774193548,1385
0,0,1,6,0,34,0,1.843342036553525,0.060906515580736544,1185
0,0,1,6,0,4,0,0.41796875,0.08411214953271028,2383
0,0,0,2,0,0,0,0.6013986013986014,0.0,242
2,0,0,3,0,1,0,0.22580645161290322,0.42857142857142855,340
0,0,1,3,0,0,0,0.12135922330097088,1.76,857
0,0,1,3,1,1,0,0.6122047244094488,0.04180064308681672,1311
0,0,0,3,0,3,0,2.3157894736842106,0.023863636363636365,1290
0,0,0,2,0,6,0,0.22012578616352202,0.4857142857142857,236
