primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,3,0,0,0.0641025641025641,0.2,STNL to BP,112
0,0,1,0,0,3.1666666666666665,0.05263157894736842,STNL to BP,27
0,0,1,3,0,0.0,inf,BP to STH,28
0,0,1,1,0,0.171875,0.18181818181818182,STNL to BP,107
0,0,1,0,0,0.7586206896551724,0.06818181818181818,BP to STH,106
0,0,2,0,0,0.6170212765957447,0.034482758620689655,STNL to BP,83
0,0,1,0,0,0.07142857142857142,0.0,STNL to BP,39
0,0,3,0,0,1.0508474576271187,0.0,STNL to BP,252
0,0,2,1,0,1.263157894736842,0.041666666666666664,BP to STH,85
0,0,2,1,0,0.7906976744186046,0.058823529411764705,STNL to BP,121
0,0,2,0,0,0.7083333333333334,0.058823529411764705,STNL to BP,44
0,0,3,1,0,0.21052631578947367,0.05,STNL to BP,121
0,0,1,0,1,0.022222222222222223,1.0,STNL to BP,90
0,0,1,0,0,1.1111111111111112,0.1,STNL to BP,108
0,0,3,2,0,0.5522388059701493,0.13513513513513514,BP to STH,236
0,0,1,0,0,0.25925925925925924,0.0,STNL to BP,35
0,0,1,0,0,2.2,0.12121212121212122,BP to STH,184
0,0,2,0,0,0.32894736842105265,0.08,STNL to BP,105
0,0,2,5,0,1.4848484848484849,0.04081632653061224,STNL to BP,104
0,0,1,2,0,2.5,0.09230769230769231,BP to STH,107
0,0,2,0,0,0.13131313131313133,0.0,STNL to BP,114
0,0,2,1,0,0.44,0.0,STNL to BP,40
0,0,1,0,0,0.3448275862068966,0.1,BP to STH,137
0,0,2,3,0,0.6271186440677966,0.0,STNL to BP,102
0,0,1,0,0,0.47058823529411764,0.0,BP to STH,51
0,0,1,0,0,3.5555555555555554,0.015625,STNL to BP,250
0,0,1,1,0,0.0625,1.5,STNL to BP,145
0,0,2,1,0,0.3132530120481928,0.0,STNL to BP,152
0,0,1,0,0,0.1590909090909091,0.2857142857142857,STNL to BP,82
0,0,1,0,0,0.10810810810810811,0.0,STNL to BP,42
0,0,2,0,0,0.05128205128205128,0.0,STNL to BP,48
0,0,2,0,1,0.43859649122807015,0.48,STNL to BP,200
0,0,1,1,0,0.696969696969697,0.0,STNL to BP,62
0,0,1,0,0,0.7804878048780488,0.09375,STNL to BP,77
