primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,1,0,0,1,0,0.16666666666666666,1.3333333333333333,BP to STH,52
0,0,0,2,0,0,0,0,0.46153846153846156,0.08333333333333333,BP to STH,87
0,0,0,3,0,0,0,0,4.487394957983193,0.0299625468164794,STNL to BP,675
3,0,0,5,0,0,0,0,0.4594594594594595,0.058823529411764705,STNL to BP,64
0,0,0,2,0,0,0,0,0.4782608695652174,0.06060606060606061,STNL to BP,106
0,0,0,2,0,0,1,0,1.3866666666666667,0.009615384615384616,STNL to BP,191
0,0,0,2,0,0,0,0,0.10204081632653061,1.0,STNL to BP,76
0,0,0,2,0,0,0,0,2.4444444444444446,0.02727272727272727,STNL to BP,161
0,0,0,7,0,0,0,0,0.94,0.10638297872340426,BP to STH,142
0,0,0,2,0,0,0,0,0.1,2.0,STNL to BP,109
0,0,0,2,0,0,0,0,0.36633663366336633,0.08108108108108109,STNL to BP,266
0,0,0,2,0,0,5,0,0.31645569620253167,0.16,BP to STH,117
0,0,0,2,0,0,0,0,0.6181818181818182,0.08823529411764706,STNL to BP,354
0,0,0,2,0,0,1,0,1.3137254901960784,0.0,STNL to BP,122
0,0,0,2,0,3,0,1,0.8632478632478633,0.4752475247524752,STNL to BP,672
0,0,0,3,0,0,0,0,0.22018348623853212,0.0,STNL to BP,138
0,0,0,1,0,0,1,0,0.39473684210526316,1.8666666666666667,STNL to BP,84
0,0,0,1,0,0,3,0,1.4615384615384615,0.0,STNL to BP,69
0,0,0,2,0,0,0,1,0.12658227848101267,0.2,STNL to BP,125
0,0,0,4,0,0,0,0,0.021739130434782608,2.0,STNL to BP,93
0,0,0,4,0,0,0,0,0.40625,0.10256410256410256,STNL to BP,219
0,0,0,1,0,0,1,0,0.4084507042253521,0.20689655172413793,STNL to BP,117
0,0,0,1,0,0,2,0,,,STNL to BP,41
0,0,0,2,0,0,0,0,0.11702127659574468,0.0,STNL to BP,197
0,0,0,8,0,0,0,0,0.0,,STNL to BP,85
0,0,0,2,0,0,0,0,0.9024390243902439,0.14864864864864866,STNL to BP,295
0,0,1,1,0,0,0,0,1.0,0.0,STNL to BP,27
