primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,1,0,0,9,0,0.24742268041237114,0.125,143
0,0,0,2,0,1,12,0,1.0856031128404668,0.07526881720430108,650
0,0,1,1,0,0,0,0,0.2169811320754717,0.8695652173913043,513
0,0,0,2,0,0,0,0,0.32081911262798635,0.2127659574468085,658
0,0,0,1,0,0,3,0,0.3023255813953488,0.15384615384615385,247
0,0,0,2,0,0,2,6,0.11924119241192412,1.7954545454545454,1214
0,0,0,2,0,0,6,6,0.6582278481012658,0.27403846153846156,739
0,0,0,1,0,0,18,0,1.1538461538461537,0.10666666666666667,400
1,0,0,1,0,0,1,4,1.5421686746987953,0.0859375,384
0,0,1,1,0,0,2,0,0.6788990825688074,0.1891891891891892,281
0,0,0,2,0,0,9,0,0.06666666666666667,1.5,243
0,0,0,1,0,0,4,0,0.26666666666666666,0.0,165
0,0,0,2,0,0,0,0,0.15730337078651685,0.6428571428571429,460
0,0,0,1,0,0,0,0,0.32954545454545453,0.06896551724137931,214
0,0,0,1,0,0,4,0,1.0277777777777777,0.24324324324324326,107
0,0,0,1,0,0,3,1,3.533333333333333,0.05660377358490566,87
0,0,0,1,0,0,3,1,1.9622641509433962,0.04326923076923077,624
0,0,0,2,0,0,6,1,1.6666666666666667,0.09019607843137255,529
0,0,0,2,0,0,1,0,0.09803921568627451,0.9,404
0,0,0,1,0,0,2,0,0.5106382978723404,0.10416666666666667,192
3,0,1,7,0,0,0,0,0.7636363636363637,0.11904761904761904,142
0,0,0,2,1,0,5,6,2.431693989071038,0.15730337078651685,1083
1,0,0,2,0,0,7,0,0.0975609756097561,1.4,876
0,0,0,1,0,0,1,0,0.03333333333333333,1.0,267
0,0,0,4,0,0,0,0,0.3855932203389831,0.8681318681318682,767
0,0,1,2,0,0,2,0,0.5615942028985508,0.14193548387096774,767
0,0,0,2,0,0,0,0,0.11392405063291139,1.4444444444444444,339
0,0,0,1,0,0,0,0,0.851063829787234,0.0,111
0,0,0,2,0,0,0,0,0.34649122807017546,0.25316455696202533,989
0,0,0,2,0,0,6,0,1.1830065359477124,0.055248618784530384,452
0,0,0,2,0,0,0,3,1.226890756302521,0.136986301369863,1001
1,0,0,2,0,0,6,0,0.9197994987468672,0.1335149863760218,1027
0,1,0,9,0,2,8,2,0.07647058823529412,1.0769230769230769,338
1,0,0,1,0,0,3,0,1.0714285714285714,0.05333333333333334,641
0,0,0,2,0,0,1,0,0.15810276679841898,0.775,792
0,0,0,2,0,0,15,0,0.5285714285714286,0.15315315315315314,1052
1,0,0,1,0,0,6,0,0.16666666666666666,0.7,105
0,0,0,2,0,2,14,1,0.32432432432432434,0.6,465
0,0,0,1,0,0,0,0,0.09803921568627451,0.4,71
0,0,0,1,0,0,0,0,2.238095238095238,0.03546099290780142,285
0,0,0,2,0,1,15,0,1.433673469387755,0.06405693950177936,919
0,0,0,1,0,0,0,1,0.5274725274725275,0.25,531
