ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,Totals
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,73
0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.6703296703296703,0.06557377049180328,161
0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,1.2156862745098038,0.0,116
0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6382978723404256,0.07142857142857142,263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4324324324324325,0.04716981132075472,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,210
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,0.07692307692307693,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08490566037735849,0.0,234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766990291262135,0.0,113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391304347826087,0.0625,285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636363636363636,0.03225806451612903,88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08284023668639054,0.07142857142857142,185
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.125,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.05555555555555555,84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4
0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.2620689655172414,0.10526315789473684,192
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45
0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.25961538461538464,0.0,138
0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.726027397260274,0.1320754716981132,138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.0,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18095238095238095,0.0,125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.15384615384615385,168
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315788,0.05555555555555555,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.5,121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.2595419847328244,0.0,167
0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.0,0.48201438848920863,0.05970149253731343,264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169491525423728,0.04918032786885246,183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902439024390244,0.0,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48514851485148514,0.0,154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028735632183908046,0.0,183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922330097087378,0.04918032786885246,170
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.08333333333333333,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07142857142857142,161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852941176470588,0.06060606060606061,104
0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0038910505836575876,0.9159663865546218,0.06422018348623854,257
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14606741573033707,0.15384615384615385,106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,54
0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.007575757575757576,0.1553398058252427,0.125,132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,127
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032490974729241874,0.2222222222222222,288
