"ACTIVITY_CODE_primary_purchase_club","ACTIVITY_CODE_primary_purchase_ga","ACTIVITY_CODE_primary_purchase_single","ACTIVITY_CODE_primary_purchase_sth","ACTIVITY_CODE_primary_purchase_suite","ACTIVITY_CODE_secondary_purchase","ACTIVITY_CODE_secondary_sale","ACTIVITY_CODE_merch_purchase","perc_open","perc_click","CONVERSION"
0,0,0,0,0,0,0,0,0.905405405405405,0.0298507462686567,"0"
0,0,0.0000367309458218549,0,0,0,0,0,0.884615384615385,0.072463768115942,"0"
0,0,0,0,0,0,0,0,0.515151515151515,0.0882352941176471,"0"
0,0,0,0,0,0,0,0,0.358208955223881,0,"0"
0.0000144573436076855,0,0,0,0,0,0,0,1.63829787234043,0.0714285714285714,"0"
0,0,0,0,0,0,0.0000271267361111111,0,0.262068965517241,0.105263157894737,"0"
0,0,0.0000286960514233242,0,0,0.0000286960514233242,0,0,0.482014388489209,0.0597014925373134,"0"
0,0,0,0,0,0,0,0,0.592233009708738,0.0491803278688525,"0"
0,0,0,0,0,0.0000151402746445821,0,0.0000151402746445821,0.915966386554622,0.0642201834862385,"0"
0,0,0,0,0,0,0,0.000268744961031981,0.696969696969697,0.0434782608695652,"0"
0,0,0.0000092386433976035,0,0,0,0,0,0.131672597864769,0.108108108108108,"0"
0,0,0,0,0,0,0,0.0000708616780045351,1.0379746835443,0.0487804878048781,"0"
0,0,0,0,0,0,0,0,0.188679245283019,0.1,"0"
0,0,0,0,0,0,0,0,1,0,"0"
0,0,0,0,0,0.0000629881582262535,0,0.0000629881582262535,0.0252100840336134,0,"0"
0,0,0,0,0,0,0,0,0.178294573643411,0,"0"
0,0,0,0,0,0,0,0,0.229508196721311,0,"0"
0,0,0,0,0,0,0,0,2.17142857142857,0.0657894736842105,"0"
0,0,0,0,0,0,0,0,0.402439024390244,0.121212121212121,"0"
0,0,0,0,0,0,0,0,0.0310077519379845,0,"0"
0,0,0.0000565323082141444,0,0,0,0,0.0000565323082141444,0.0578512396694215,0,"0"
0,0,0,0,0,0,0,0,0.5,0,"0"
0,0,0,0,0,0,0,0.00048828125,0.087719298245614,0,"0"
0,0,0,0,0,0,0,0,0.927272727272727,0.117647058823529,"0"
0,0,0,0,0,0,0,0,0.722222222222222,0,"0"
0,0.0000832466181061394,0,0,0,0,0,0,0.46,0.0869565217391304,"0"
0,0,0,0,0,0.0000438577255383536,0,0,0.640449438202247,0.0175438596491228,"0"
0,0,0,0,0,0,0,0,0.885245901639344,0,"0"
0,0,0,0,0,0,0,0,0.53125,0,"0"
0,0,0,0.0000101452804155507,0,0,0.0000253632010388767,0.00000507264020777534,0.32129963898917,0.191011235955056,"0"
0,0,0,0,0,0,0,0,0.0816326530612245,0.25,"0"
0,0,0,0,0,0,0,0,2,0.125,"0"
0,0,0,0,0,0,0,0,0.87,0.114942528735632,"0"
0,0,0,0,0,0,0,0,0.0526315789473684,0.333333333333333,"0"
0,0,0,0,0,0,0.0000288007767980942,0,1.32768361581921,0.0595744680851064,"0"
0,0,0,0,0,0,0,0,0.190751445086705,0.0909090909090909,"0"
0,0,0,0,0,0,0.0000756143667296786,0,0.642857142857143,0.194444444444444,"0"
0,0,0,0,0,0,0,0,0.766666666666667,0.0434782608695652,"0"
0,0,0,0,0,0,0,0,0.395161290322581,0,"0"
0,0,0.0000603791812583021,0,0,0,0,0,0.148148148148148,0.3,"0"
0,0,0,0,0,0,0,0,0.294117647058824,0.1,"0"
0,0,0,0,0,0,0.0000475624256837099,0,0.454545454545455,0.05,"0"
0,0,0,0,0,0,0,0,0.126760563380282,0.111111111111111,"0"
0,0,0,0,0,0,0,0,0.441860465116279,0,"0"
0,0,0,0.00000297265160523187,0,0,0,0.00000297265160523187,1.00381679389313,0.064638783269962,"0"
0,0,0,0,0,0,0,0,0.2,0.166666666666667,"0"
0,0,0,0,0,0,0,0.0000167965600644988,0.409638554216867,0.0441176470588235,"0"
0,0,0,0,0,0,0,0,0.517482517482517,0.0135135135135135,"0"
0,0,0,0,0,0,0,0.0000262549884478051,0.443609022556391,0.305084745762712,"0"
0,0,0,0,0,0.0000214334705075446,0,0,0.448979591836735,0,"0"
0,0,0,0,0,0,0,0.000130612244897959,0.243697478991597,0.0689655172413793,"0"
0,0,0,0,0,0,0,0,0.230769230769231,0,"0"
0,0,0,0,0,0,0,0,0.369565217391304,0.117647058823529,"0"
0,0,0,0,0,0.0000112607540200892,0.0000112607540200892,0,0.288461538461538,0.166666666666667,"0"
0,0,0.00000452693526482571,0,0,0,0,0.0000135808057944771,0.888888888888889,0.0520833333333333,"0"
0,0,0,0,0,0,0,0,0.601895734597156,0.0393700787401575,"0"
0,0,0,0,0,0,0,0,0.177606177606178,0.0217391304347826,"0"
0,0,0,0,0,0,0,0,0.0393700787401575,0.4,"0"
0,0,0,0,0,0,0,0,0.385365853658537,0.164556962025316,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.625,0,"0"
0,0,0,0,0,0,0,0,1.5,0,"0"
0,0,0,0,0,0,0,0,0.1,0.0714285714285714,"0"
0,0,0,0,0,0,0,0,0.473684210526316,0,"0"
0.0000172173344122863,0,0.0000172173344122863,0,0,0,0,0,0.154228855721393,0.032258064516129,"0"
0,0,0,0,0,0,0,0,0.859154929577465,0.00819672131147541,"0"
0,0,0,0,0,0,0,0,1.39130434782609,0.28125,"0"
0,0,0,0,0,0.0000617283950617284,0,0,0.881720430107527,0.0121951219512195,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.137931034482759,0.1,"0"
0,0,0,0,0,0,0,0,0.227544910179641,0.0526315789473684,"0"
0,0,0,0,0,0,0,0,0.346341463414634,0.0845070422535211,"0"
0,0,0,0,0,0,0.000542534722222222,0,0.928571428571429,0,"0"
0,0,0,0,0,0,0,0,0.37012987012987,0.0526315789473684,"0"
0.00000464476813317479,0,0.000023223840665874,0.000023223840665874,0,0,0,0,0.94375,0.205298013245033,"0"
0,0,0,0,0,0.0000381039475689681,0,0,0.241935483870968,0.2,"0"
0,0,0,0,0,0,0,0,0.76,0.0263157894736842,"0"
0,0,0,0,0,0,0,0.0000769467528470299,0.341463414634146,0.0357142857142857,"0"
0,0,0,0,0,0,0,0,0.355555555555556,0.0625,"0"
0,0,0.000268744961031981,0,0,0,0,0,0.8,0.166666666666667,"0"
0,0,0,0,0,0.0000185790725326992,0,0,0.211640211640212,0,"0"
0,0,0,0.000229568411386593,0,0,0,0,0.5,0.111111111111111,"0"
0,0,0,0,0,0,0,0,0.169184290030211,0,"0"
0.0000582716624905308,0,0,0,0,0,0,0,0.953846153846154,0.0161290322580645,"0"
0,0,0,0,0,0,0,0,0.25,0.181818181818182,"0"
0,0,0,0,0,0,0,0,0.191176470588235,0.115384615384615,"0"
0,0,0,0,0,0,0,0,1.01587301587302,0.0625,"0"
0,0,0,0,0,0,0,0,0.264367816091954,0.173913043478261,"0"
0,0,0,0,0,0,0,0,1.1,0.0909090909090909,"0"
0,0,0,0,0,0,0,0,0.16260162601626,0.25,"0"
0,0,0,0,0,0,0,0,1.70175438596491,0.0206185567010309,"0"
0,0,0,0,0,0,0,0,0.5,0.0882352941176471,"0"
0,0,0,0,0,0,0,0,0.178947368421053,0.235294117647059,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.771428571428571,0.12962962962963,"0"
0,0,0,0,0,0,0,0,0.12396694214876,0.0666666666666667,"0"
0,0,0.0000573921028466483,0,0,0,0,0,1.61363636363636,0.169014084507042,"0"
0,0,0,0,0,0,0,0,0.0872093023255814,0.666666666666667,"0"
0,0,0,0,0,0,0,0,0.0779220779220779,0,"0"
0,0,0,0,0,0,0,0,0.176470588235294,0.0740740740740741,"0"
0,0,0,0,0,0,0,0,0.607843137254902,0.32258064516129,"0"
0,0,0.0000276391979104766,0,0,0.0000138195989552383,0,0,0.806451612903226,0.09,"0"
0,0,0,0,0,0,0,0.000111383381599465,0.531645569620253,0.0952380952380952,"0"
0,0,0,0,0,0,0,0,0.322429906542056,0.188405797101449,"0"
0,0,0,0,0,0,0,0,0.26027397260274,0.0526315789473684,"0"
0,0,0,0,0,0,0,0,0.153153153153153,0.235294117647059,"0"
0,0,0,0,0,0.00000418198318006365,0,0.00000418198318006365,0.862745098039216,0.0318181818181818,"0"
0,0,0,0,0,0,0,0,0.0420168067226891,0,"0"
0,0,0,0,0,0,0,0,0.184100418410042,0.0454545454545454,"0"
0,0,0,0,0,0,0,0,0.193548387096774,0,"0"
0,0,0,0,0,0,0,0,0.0961538461538462,0,"0"
0,0,0,0,0,0,0.0000305240987759836,0,0.873417721518987,0.144927536231884,"0"
0,0,0,0,0,0,0,0,0.625,0.0666666666666667,"0"
0,0,0,0,0,0.00591715976331361,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.283783783783784,0.238095238095238,"0"
0,0,0,0,0,0.000123456790123457,0,0.00037037037037037,0.360655737704918,0,"0"
0,0,0.00000891067052795723,0,0,0,0,0,0.447488584474886,0.142857142857143,"0"
0,0,0,0,0,0,0,0.0000139229226999332,0.0847457627118644,0.3,"0"
0,0,0,0,0,0,0,0,0.0745341614906832,0,"0"
0,0,0,0,0,0.0000694444444444444,0,0,0.0353982300884956,0.25,"0"
0,0,0,0,0,0,0,0,0.158878504672897,0,"0"
0,0,0,0,0,0,0,0,0.633802816901408,0.0444444444444444,"0"
0,0,0,0,0,0,0,0.0000444444444444444,0.106870229007634,0.142857142857143,"0"
0,0,0,0,0,0,0,0,0.391304347826087,0.037037037037037,"0"
