ACTIVITY_CODE,OLD_STNL_ACTIVITY_PER_CUSTOMER,STNL_TO_BP_ACTIVITY_PER_CUSTOMER
attend,3.7941666666666665,2.4282496057670646
email_click,5.5535,4.4897499436810095
email_incoming_from_customer,0.16041666666666668,0.11894570849290381
email_open,74.19966666666667,87.7284298265375
email_outgoing_to_customer,0.17108333333333334,0.1186077945483217
email_send,208.25208333333333,334.2211083577382
email_sub,0.9133333333333333,1.407749493129083
email_unsub,0.104,0.16028384771344897
form_submission,1.1358333333333333,0.3492903807163776
forward_receipt,0.031083333333333334,0.0
forward_received,1.1901666666666666,0.688218067132237
forward_send,0.8749166666666667,0.8659608019824285
initial_creation,3.344,3.4208154989862583
merch_purchase,0.46266666666666667,0.31425996846136517
page_view,23.22925,14.14057220094616
phonecall_incoming_from_customer,0.0011666666666666668,0.0010137418337463392
phonecall_outgoing_to_customer,0.00325,0.002928587519711647
primary_purchase_club,0.5664166666666667,0.06499211534129308
primary_purchase_ga,0.035666666666666666,0.023316062176165803
primary_purchase_single,0.7388333333333333,0.11162423969362469
primary_purchase_sth,0.07625,0.13054742059022303
primary_purchase_suite,0.0021666666666666666,0.0015769317413831944
secondary_purchase,0.46391666666666664,0.17008335210633024
secondary_sale,0.27491666666666664,0.29330930389727417
survey_submission,0.020416666666666666,0.013967109709394007
text_incoming_from_customer,0.009,0.010362694300518135
text_outgoing_to_customer,0.006083333333333333,0.007321468799279117
AVG_DAYS_BETWEEN_FIRST_LAST_ACTIVITY,2697.253583333333,3533.872268528948
AVG_DAYS_TO_FIRST_ATTEND,1589.3739837398373,2704.3615044247786
AVG_DAYS_TO_FIRST_MERCH_PURCHASE,1886.883575883576,2625.9086444007858
AVG_DAYS_TO_FIRST_PRIMARY_PURCHASE_GA,87.25633333333333,76.97499436810092
AVG_DAYS_TO_FIRST_PRIMARY_PURCHASE_SINGLE,1246.7501666666667,211.10666816850642
AVG_DAYS_TO_FIRST_PRIMARY_PURCHASE_SUITE,3.2521666666666667,6.053503041225501
AVG_DAYS_TO_FIRST_SECONDARY_PURCHASE,322.718,226.5159945933769
