ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,CAMPAIGN_LOST,Totals
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,STNL to BP,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6699029126213591,0.014492753623188408,STNL to BP,179
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3695652173913044,0.0,STNL to BP,118
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0120481927710845,0.059880239520958084,BP to STH,260
1.8419937740610438e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.8419937740610438e-05,1.0642201834862386,0.034482758620689655,STNL to BP,233
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411764705882353,0.42857142857142855,STNL to BP,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06550218340611354,0.0,STNL to BP,246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,STNL to BP,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666667,0.0,STNL to BP,76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878048780487805,0.0,STNL to BP,229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960784313726,0.0,STNL to BP,76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153846,0.0,STNL to BP,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.0,STNL to BP,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1454545454545455,0.06349206349206349,STNL to BP,244
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,0.0,STNL to BP,96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,STNL to BP,160
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11602209944751381,0.0,STNL to BP,202
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,30
0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0030864197530864196,1.3333333333333333,0.0,STNL to BP,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,STNL to BP,68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,6
0.0,0.0,0.0,0.0,0.0,0.0,4.1091387245233394e-05,0.0,0.2288135593220339,0.18518518518518517,BP to STH,156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,STNL to BP,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,5.02992807202857e-05,0.0,0.3232323232323232,0.09375,STNL to BP,141
0.0,4.8225308641975306e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.078125,0.08695652173913043,STNL to BP,144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499999999999999,0.0,STNL to BP,34
